,Hazard,Likelihood,Severity,Risk
0,Airspace Control Hazards,Occasional,Marginal,Medium
1,Avionics Malfunction,Probable,Negligible,Medium
2,Bucket Drop Failure,Probable,Marginal,Serious
3,Cargo Letdown Failure,Probable,Marginal,Serious
4,Control Surface Damage,Probable,Marginal,Serious
5,Door Failure,Probable,Marginal,Serious
6,Engine Malfunction,Probable,Marginal,Serious
7,Fuel System Malfunction,Probable,Marginal,Serious
8,Helitorch Operations Failure,Occasional,Marginal,Medium
9,Hydraulic Fluid Leak,Probable,Marginal,Serious
10,In-flight Collision,Occasional,Marginal,Medium
11,Inadequate PPE,Occasional,Negligible,Low
12,Intrusion,Probable,Negligible,Medium
13,Jumper Operations Hazards,Occasional,Catastrophic,High
14,Landing Gear Malfunction,Probable,Marginal,Serious
15,Load Limits Exceeded,Occasional,Negligible,Low
16,Medivac,Occasional,Catastrophic,High
17,Oil Malfunction,Probable,Marginal,Serious
18,On-board Caution Light Illuminates,Probable,Negligible,Medium
19,Personnel Duty Hours Exceeded,Occasional,Negligible,Low
20,Radio Malfunction,Probable,Negligible,Medium
21,Severe Weather,Probable,Marginal,Serious
22,Tanker Loading Failure,Probable,Marginal,Serious
