cluster,Phase,Cause,Failure Mode,Effect,Control Process,Recommendations,Frequency,Severity,Risk,SAFECOM
Battery,Reconnaissance; Infrared Imagery,"“ b, button, not, could, issue, battery level status, showing,","hard, landing, depleted, battery, 40 percent, battery level, sufficient power,","dropping, 10, percent, lost, fell at close to free, fall,","assumed manual, control, bringing it down, manually, the, ”, ua,","batteries will be, tracked on an individual, level, be, removed",2,0.333,0.667,17-0977
Casing dislodged,Reconnaissance; Infrared Imagery,"fuselage, cowling on the aircraft was, missing, winds funneled under","battery hatch cover disengaged from the, motor failsafe, activated, dirt,","hit, motors, shut down, the, small, nick, trap the, dirt,","propeller and battery hatch cover were, replaced, redesigning the battery",,2,0,0,21-0015
Communications/flight navigation with UAS failed,External Load (Longline); Infrared Imagery,"no contact with, operation, not know about, mission, asked ops","positive contact with a, uas operation, failed, uas, mission, not,","flight navigation software on the computer started to, freeze, crashed,","confirmed frequencies and mission, parameters, adequate, separation, appropriate, safety first,","contact, gain, approvals, and planning, processes, occurred, confirm, items, lend",2,0,0,18-0839
Employee personal drone usage without certification/official approval,Initial Attack; Aerial Ignition (Prescribed); Reconnaissance,"did not recall any discussion of uas, use, nan, drone,","ua, was put, the, litter","away, not, consuming, needle","1420 acre prescribed, burn, uas was, aerial, photography, area safety","check the fire, activity, the, fuels, size of, fire, take",2,0,0,16-0168
Engine Failure,Other; Infrared Imagery,"remained in guided, mode, attempting to maintain altitude without engine,","a33n engine, failed, aircraft, failure of the, piston, engine to,","was, aircraft then, spiral, and, crashed, ground, quit, extensive, damage","aircraft, landing, monitoring the, visually, crash was, located, within the,","replace, replace current mission planner, messaging, with, update mission, planner,",3,0.5,1.5,20-0822
Fight plan error,Air Attack; Reconnaissance; Infrared Imagery,"location of the, fire, placement of the launch, angle of","uas aggressively changed its angle of, attack, and, pitched, down,","ground, sustained, significant, damage, higher, of, impact to the, wilderness,","heat, flight, safety and operational, briefing, area, in charge, pic","detect any, remaining, map their, perimeters, provide, imagery, thorough, double,",3,0.5,1.5,19-0489
Hang Fire,Aerial Ignition,"form of, visible, hang fire, functioned, melted, sphere, was still","a, hang, fire, on, aircraft gave a, hatch motion, error,","in, flight, fires","vo assisted the pilot, resetting the ignis per, took control","follow, immediately using the, camera, identify any, ensure that you",1,0,0,20-0872
High wind pushes UAS off course,Reconnaissance,,"propeller, strike, side gust of, hit a, landing, composite tip","wind, off, target, ground was, struck, breaking the tips of","in guided, mode, automated rtl, landing, area, opening, propeller strike,","relocate, larger, area, clear of all, obstacles, sent, the, inspected",2,0.5,1,18-0847
Hobbyist offers services,Initial Attack,"mission, no, t",,,"fire, department, camera - equipped, drone, was notified of the,","fly, will not be, allowed, faa, accreditation, federal fire, managers,",1,0,0,15-0166
Inappropriate Landing Site,Infrared Imagery,"pilot was landing on the landing, pad, black, trim","portion of the skid landed on the, ” ), rise,","landing, upside, minor, damage, to, rotors","lift, pic, moving both sticks to forward","taking, more time to, level out uneven, surfaces, procedures, land",1,1,1,21-0761
