,Lesson(s) Learned Level 1,Driving Event Level 1,Recommendation(s) Level 1,Lesson IDs for row,Number of lessons for row
0,0.05021550750347447,0.05563506569371417,0.04876203522537564,n/a,n/a
1,0.7878231579349153,0.8643128665288291,0.8094400844573975,n/a,n/a
2,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","anomaly investigation, centaur, thrust, potable water, atlas centaur, cape canaveral, hughes, general purpose computer, engine start, dewar","risk assessment, self, orbital, constant, minute, radio frequency, personal, occurs, budget schedule, nature",[81],1
3,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","anomaly investigation, centaur, thrust, potable water, atlas centaur, cape canaveral, hughes, general purpose computer, engine start, dewar","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[47],1
4,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","measure, bearing, constrain, impose, attitude control, frequency, limitation, constraint, condition, performance","[1330, 1402]",2
5,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[55, 168, 588, 604, 985, 1205, 1308, 1327]",8
6,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[448, 870]",2
7,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[332],1
8,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[261, 323, 352, 384, 542, 645, 654, 717, 731, 756, 783, 793, 806, 811, 855, 1061, 1279, 1532]",18
9,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[1006, 3698]",2
10,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","explosion, injury, employee, tighten, burn, electrical shock, injured, explode, newly, contact","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[1577],1
11,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","explosion, injury, employee, tighten, burn, electrical shock, injured, explode, newly, contact","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[69, 409, 948, 966, 1098]",5
12,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","explosion, injury, employee, tighten, burn, electrical shock, injured, explode, newly, contact","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector","[76, 90, 114, 120, 139, 175, 195, 228, 292, 580, 592, 670, 742, 1734, 6416, 18502]",16
13,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","management, project, lack, formal, manager, organization, contractor, request, risk, development","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[2217],1
14,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","management, project, lack, formal, manager, organization, contractor, request, risk, development","circuit, temperature, redundant, part stress, transient, assume, selection, stress, mode, consider","[643, 914, 1023, 1085, 1096, 1349, 1582, 1832, 2057]",9
15,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","management, project, lack, formal, manager, organization, contractor, request, risk, development","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection",[749],1
16,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[124, 225, 279, 607, 609, 800, 882, 1743, 1879, 16901]",10
17,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","management, project, lack, formal, manager, organization, contractor, request, risk, development","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[32, 103, 128, 235, 257, 298, 310, 399, 545, 613, 767, 857, 936, 1049, 1071, 1624, 2876, 3640, 5876, 6758]",20
18,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door",[28101],1
19,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","[688, 881, 1132, 5003]",4
20,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[5, 661, 1778, 3277, 4057]",5
21,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[261, 323, 352, 384, 542, 645, 654, 717, 731, 756, 783, 793, 806, 811, 855, 1061, 1279, 1532]",18
