cluster,Phase,Cause,Failure Mode,Effect,Control Process,Recommendations,Frequency,Severity,Risk,SAFECOM
Airspace Control Hazards,External Load (Longline) (Non-Fire); Ferry/Repositioning Flight; Retardant Drop (SEAT); Water Drop (Helicopter Bucket); Aerial Ignition; Other; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Medivac; Survey/Observation (Non-Fire); Helitack; Detection; Aerial Ignition (Prescribed); Passenger Transport (Non-Fire); Retardant; Initial Attack; Rappel; Leadplane; External Load (Longline); Passenger Transport,"mid -, air did not announce his intentions or, position, performance, confusion on, instruction, from orlando executive, tower, executive tower controller was, hostile, pilot, of the, followed the instructions of the tower, controller, did not report landing on, ground, non - standard right hand traffic, patterns, uncontrolled airport, entry, left","field, were, out of the, pattern, a, king, air, airspace, violation, the, out, , v, speeds, recent, traffic, matching, was, no, response, at, to, 172, 182, smoke, of, white go, across the, lights, radio, failed to respond to numerous radio, calls, aircraft, failed to vacate its, departed, realized, were headed","cut, , es, been, of, approaches, and, exposed to potential, danger, out, reckless, flash, windshield, piper, tom, blocking the use of the, rwy, to make a missed approach and go, around, landing, damage to the, warned, light, results, disastrous, annoying, too, dissipated, to the, pilot, shut down, mid, minutes, runway,","ann, our position and intentions, alamogrodo, traffic, go around, evasive, speak, owner, and manager were also, contacted, get their version of, command, english, language, pilots ability and, procedures, ignore, fly, hand, -, reports, advantage, checked, following procedures, calling sea, get a transponder, code, the helicopter, started, tried contacting sea radio,","approach, control, get a, clearance, prior to, the, airspace, better, entries, patterns, not, return to class, plan, tell me to, get back to, minutes, down, depart, contact, pilot, discuss flying near, fires, , pressure, pump, notify, truck, standing, by, company, removed, hold, takeoff, avoid any class, c airspace, take, instructions,",3,0.029411764705882353,0.08823529411764705,09-0701
Avionics Malfunction,External Load (Longline) (Non-Fire); Paracargo; Ferry/Repositioning Flight; Retardant Drop (SEAT); Water Drop (Helicopter Bucket); Other; Aerial Ignition; Rappel (Non-Fire); Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Helitorch; Survey/Observation (Non-Fire); Helitack; Aerial Ignition (Prescribed); Detection; Ping-Pong Ball; Passenger Transport (Non-Fire); Water Drop (Fixed Wing); Cargo Transport (Internal) (Non-Fire); Cargo Letdown; Retardant; Initial Attack; Retardant Drop (Helicopter); Rappel; Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"fuel, functioning, properly, loose cone, in the circuit, breaker, problem with landing, gear, began to crank down the landing gear, manual, mechanical, ir, server, faulty, ground, switch, system, had been, set, mechanic had, failed to reset, checked, micro - switch was, pushed, bare, wires, circuit breaker, panel, wires leading to","gauge was not, problem, truck was not able to pump, rotor brake light came, on, pumpkin, fire, gear failure light had, lit, popped the, breaker, not, to, di, accidental retraction of the landing, gear, start circut breaker, popped, smoke, panel rheostat had, burned out, fm radio system was, systrem, likewise,","re -, , unnecessary, risk, land, turned, touch, fluid, casing, in the, pit, loss of, availability, the, wires, didn, extinguish, flight, unable, popped, to, life, ceased, his, from the landing gear, area, other lights went, out, lights, mission, minutes out from, off, stayed, shut down, and, resigned, in, would not,","tightening the, connection, spare, gauge, contact, was, contacted, notified of, filter, service truck pump was, replaced, fuel was, be pumped, restarted, shut, rotor brake press switch was, removed, serviceable one was, installed, rec, air attack, cleared, back into the, re, reset the main circuit, breaker, trouble shot the, system, repaired",", put electrical, power, fire warning, indicater, system, connection, breakers, down, switches, ask, they could, verify that the gear was full, up, low, look, panel, check, replaced press to test, lite, replaced fire, relay, adhere, 5 - minute flight, follow, d, cover instrument, in direct, sunlight, turn, go, spoke with,",4,0.16621253405994552,0.6648501362397821,16-0863
Bucket Drop Failure,External Load (Longline) (Non-Fire); Paracargo; Ferry/Repositioning Flight; Cargo Transport (Internal); Retardant Drop (SEAT); Cargo Letdown (Non-Fire); Water Drop (Helicopter Bucket); Infrared Imagery; Aerial Ignition; Other; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Helitorch; Air Attack; Medivac; Survey/Observation (Non-Fire); Helitack; Aerial Ignition (Prescribed); Detection; Ping-Pong Ball; Passenger Transport (Non-Fire); Paracargo (Non-Fire); Water Drop (Fixed Wing); Cargo Transport (Internal) (Non-Fire); Cargo Letdown; Retardant; External Load (Belly Hook); Initial Attack; Retardant Drop (Helicopter); Rappel; Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"sea otter, habitat, fire, were not in the, was not, release, was dipping from, tank, support cable, hill, hidden from, sudden, shift, knot could not be un, could not decide what to do, looked up at the spotter for, direction, had, firefighters, dropping, water, division, pack, sig, bottle, took, maintaining,","line went, slack, sinking, , released 100ft longline, bucket into, a, on the bucket was caught on the side of the, tank, cable was, broken, flying down the, draw, hard, lost, altitude, bucket, in, wind, in descent, rate, encountered, knot approximately 40'down the, up against the, not locked, off, locked,","bucket kept, water, pumpkin, bucket came to with in 10 feet of, ground, trees, hung up, increase, unconcious, snapped off, 25 - 30 feet of the top of the, tree, crew members were, hit, individual was, hit in the, shoulder, suffered, deeply bruised, hit,, not, fall, injury, , hours, on,","reatt, bucket, electrical, hooked, manual, of bladder, unhooked and reattached electrical, bladder, reattach, free, bam, returned to the pad, fix the, clevis on side of the tank was, removed, the, west, bucket was, filled, climb, saddle, cross over the, ridge, rope, lower, unhooked, statements, were taken, no ia, number of,",", path, of positive, communications, smokes, get, ropes, b, higher, maintain clearance, jettison, check those front seat, belts, down, office, work, do a power, check, tell the pilot to hold, position, utilized the 100 ', line, clear, bucket be, tree be, removed, from the departure, sunlight, bucket, setting down and,",4,0.37723424270931327,1.508936970837253,05-0231
Cargo Letdown Failure,External Load (Longline) (Non-Fire); Ferry/Repositioning Flight; Cargo Transport (Internal); Retardant Drop (SEAT); Water Drop (Helicopter Bucket); Infrared Imagery; Other; Aerial Ignition; Rappel (Non-Fire); Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Survey/Observation (Non-Fire); Helitack; Detection; Aerial Ignition (Prescribed); Ping-Pong Ball; Passenger Transport (Non-Fire); Water Drop (Fixed Wing); Cargo Transport (Internal) (Non-Fire); Cargo Letdown; Retardant; Initial Attack; Retardant Drop (Helicopter); Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"sw, ' s spring loaded, pushed, keeper, personnel grabbed the hook out, air, hook, clip, long turn around, times, no sw, was being, utilized, remote, like, rubber, band, been, up, tried, manually re, the, load, not secure to the, bucket, have, ina, release, air was, turbulent, mechanical, at, never, overfly","two, empty blvots came off the, clip had, failed, bent, outside the, off the, released it it, -, of, cubie containors, broke, of the, swivel, failure, spring loaded, clip, spinning, hook unwound, to become entangled around the remote, hook, rats, nest, too, entangled, inadvertantly release, switch, been, bumped, the, release","une, his, load, damage, the, entire load was, lost, streamlined the, system, load from, bal, drop site, lowered the load to the, ground, leadline and cargo net, losses, , aircraft, releasing the, dropping the bambi, bucket, undamaged, suffered, extensive, loss, availability, punched, dropped 10 feet to the, undone, 30, feet,",", personnel, clear, the, package all, empty, everything was clipped into the single swivel, taping of the empty, area, leadline, locking, two bull rings on the cargo net are then placed within the cargo, hook, slow forward, proper arrangement of the hay, aerodynamic, a, ground contact explained to the, radio","of, area, , airspeed, release, instituted, alternative method, procedure, fuels, structures, checking, gages, utilized the 100 ', line, remove the pilot's side, door, bag should be tied and taped to the, blivet ring, on nylon, straps, vehicles should not be driven that close to the, helicopter, load, put, bag inside",4,0.33769063180827885,1.3507625272331154,03-0876
Control Surface Damage,External Load (Longline) (Non-Fire); Ferry/Repositioning Flight; Cargo Transport (Internal); Air-Attack (Prescribed); Retardant Drop (SEAT); Cargo Letdown (Non-Fire); Water Drop (Helicopter Bucket); Infrared Imagery; Aerial Ignition; Other; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Passenger Transport; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Helitorch; Medivac; Survey/Observation (Non-Fire); Helitack; Aerial Ignition (Prescribed); Detection; Ping-Pong Ball; Passenger Transport (Non-Fire); Water Drop (Fixed Wing); Cargo Transport (Internal) (Non-Fire); Retardant; Initial Attack; Rappel; Retardant Drop (Helicopter); Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; External Load (Belly Hook),"tail rotor gearbox mounting bolts were, loose, grease, the, blade, ri, had, repaired the trim, tab, to manual, specifications, tail rotor gearbox was, two of, four lock nuts on the mounting studs had started backing, cyclic, worn, pin, on flight control, surface, seal that had gone, in the main rotor,","drive shaft to tail - rotor was found, scored, excessive, on, rotor head was not holding, excluder seal had, vibration, blade heater boot had, failed, come, off, vibration in, was out of, service, out, of, rotor, authority, 180 degree, turn, rear right wheel scraped the, ground, of the, loose nut",", aircraft was, grounded, helicopter, total loss, tail, damage to the aircraft, frame, was, damage, to the tail, sp, and turn, buckle, terminated the, on, outs, mission was, terminated, emergency, landing, cancelled, impact, ricochet, damaged, start, shut down, ignition, fire, fire was, completely, extinguished, on tail, boom, impacted the main,","dispatch, bill, were notified, shut, prop, change, / r gearbox was, re, maintenance inspector was, test, reduced, speed, radio contact was made, type of, emergency, of, visual, inspection, was made, tail, mechanic, commenced, hundred hour, conducted the, contacted, company, off, informed, inspected, drive shaft hanger, coupling, hardware, thomas, inspected the,","be, traded, out, , -, installed, replace, rest, periods, up, return, visual, inspection, wait for mechanic to inspect, aircraft, inform maintenance, move, entry, removed and, replaced tail - rotor, blade, tracked, and, balanced, should, replaced, put back into contract, availability, inspector, systems, controls, train, problems, shaft, bearing, support, performed, flight,",4,0.45185185185185184,1.8074074074074074,13-0438
Door Failure,External Load (Longline) (Non-Fire); Cargo Transport (Internal); Ferry/Repositioning Flight; Retardant Drop (SEAT); Infrared Imagery; Water Drop (Helicopter Bucket); Other; Aerial Ignition; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Medivac; Survey/Observation (Non-Fire); Helitack; Detection; Aerial Ignition (Prescribed); Ping-Pong Ball; Passenger Transport (Non-Fire); Water Drop (Fixed Wing); Cargo Letdown; Retardant; Initial Attack; Rappel; Retardant Drop (Helicopter); Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"passenger, the rear left forward facing seat, , left rear cargo / passenger door was, open, out, place his hand on the door, brace, hand, not carefully, slider window had a, in, piece, seen, of, back, door, hecm, exited, not fully, latch, rose, vertically, not have any forward, motion, was,","handle, and opened, door, mlg door fell, turbulence, strong tail, winds, front passenger door to come, being, hit and dislodged the door, pin, crack, completely sep, from, slider window had been, broken, needed to, module was, released, wall seat cushions was, missing, fell out, cushion, door would not, open, assembly","off, breaking, 2, and 3 door, hinges, open, loaded, personnel or equipment were, injured, it to, fall to the, ground, , refuel, did release and, exit, blew the door, and into the, windshield, breaking the door and chin, bubble, unsafe, minor, structural, damage, to crew, door, and, the, ship, delay,","front seat helitack person got out and secured the door, close, the door, adjusted the latch, was, signalling to hold position on the, securing the load, the, latch door, securely, put it on the ground, protected, the helitack, both, do a, written, statement, removing the pilot's, removed the, pins, took","set, down, keeping hands inside, instructions, followed, off, should have just went into the back, seat, be, removed, follow, up, both back doors must be removed, , crew, transport, place the chain, saw, and, gas, boom, place, take, go, remove the pilot's side, door, ins, safe, close the, not open",4,0.5073068893528184,2.0292275574112737,16-0773
Engine Malfunction,External Load (Longline) (Non-Fire); Paracargo; Ferry/Repositioning Flight; Cargo Transport (Internal); Retardant Drop (SEAT); Cargo Letdown (Non-Fire); Water Drop (Helicopter Bucket); Infrared Imagery; Other; Aerial Ignition; Rappel (Non-Fire); Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Medivac; Helitorch; Survey/Observation (Non-Fire); Helitack; Detection; Aerial Ignition (Prescribed); Ping-Pong Ball; Passenger Transport (Non-Fire); Water Drop (Fixed Wing); Cargo Transport (Internal) (Non-Fire); Cargo Letdown; Retardant; External Load (Belly Hook); Initial Attack; Retardant Drop (Helicopter); Rappel; Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"on, previous mast, replacement, interfering, fl, were, be shorting, plug, filter bypass, indicator, in, bypassed, position, non, bit, filter, was, out, fuel, small, piece of, metal, on the, piece off the, can, chip plug was grounding to the, housing, reduced, power, fuel bypass, not, activated, build, of, carbon, on the","chip warning, light, transmission chip light, flickered, a few, times, 1 fuel boost pump, also came, on, transmission, chips, debris was, with the check, valve, illuminated, fl, fuel filter warning, came, sediment, washed, visible, particles, transmission chip segment, light illuminated, chip, transmission chip, flickered momentarily, fu, of, in, chip light,","damage, was placed out of, service, helicopter was taken out of, landing the, aircraft immediatly, shutdown, went, out, , it, extinguished, light, load was, abort, shut, down, placed out of, aircraft was, load, jettisoned, down engine, aborted, helicopter was put off, duty, dropped, order, metal, was, grounded, replaced, off, 20","pulled the mag, plug, metal, change the, engine, the, the company maintenance, facility, the work, inspected, part was serviced, re -, installed, caution, was run up, the plug was rechecked, reduced, filtered, shut down, inspected the engine oil magnetic, removed and inspected the engine oil, screen, mechanic was, notified, mechanic,",", be, monitored, continue, five, minute, of the, aircraft, advise, screens, recon, shooting, perform, keep, watching, power check, trend, contacted, service, go, test, flight, filters, plug, run, light, inspected, re, at a facility with, equipment, oil, change, fly, check, procedure, manager, and inlet, screen, rep, clean, do, up, talk, covered,",4,0.16790490341753342,0.6716196136701337,20-0619
Fuel System Malfunction,External Load (Longline) (Non-Fire); Water Drop (Helicopter Bucket); Water Drop (Helicopter Fixed-Tank); Reconnaissance; Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Survey/Observation (Non-Fire); Helitack; Detection; Ping-Pong Ball; Passenger Transport (Non-Fire); Cargo Transport (Internal) (Non-Fire); Initial Attack; Rappel; Reconnaissance (Non-Fire); Leadplane; Smokejumper; Passenger Transport,"smelling, fr, that, toxic, considerable amount of, the, shut down, firewall shutoff, valve, jet, fuel, was, leak, fuel valve handles had been turned to the crossfeed, position, cross, strong, fuel line on the right, engine, loose, line was, cap, back, ground, idle, flex joint, disconnected, ship was not transfering fuel","low, fuel, was, t fitting, cracked, liquid, liquid running off, wing, the, leaking, rear handle was stuck in the, feed, engine started to run, rough, smell, fuel truck driver, lost control of the bucket, basketball size, hole, leak, fuel cap failed to lock, closed, , vavle was, broke, developing enough,","canceled, dangerous, declared, emergency, the, to, strike and, break the, window, ten gallons of, fuel, spilled, from the, helicopter, onto the asphalt, ramp, , gal, a, had, would not, light went, off, had to be moved off the, of the right wing tank, chu, and, from, free, broken into, pieces,","donned my o2, mask, closed the fire wall, shutoff, vented the cabin, the dump, door, seal, at, kept a close watch, the national maintenance manager, came out, investigated, leak, to determine, maintenance facl, loosened, finger, tightened, opening and closing the fuel, cap, fuel, spill, was immediately cleaned up with, cat,",", go back and, take a look from the, back, secured engine with'' e'', handle, contact, attempt, make, to, ops, start, 4 fast to empty, hopper, boom, and, driveshaft, meet at the, hangar, evaluate, repairs would be, made, would be taken, of, service, utilize, confirm he, go, ahead, figure out,",3,0.21428571428571427,0.6428571428571428,20-0959
Helitorch Operations Failure,Retardant Drop (Airtanker); Air Attack; Retardant; Initial Attack; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Helitack; Rappel; Detection; Leadplane; Retardant Drop (SEAT); External Load (Longline); Water Drop (Helicopter Bucket); Infrared Imagery; Aerial Ignition; Passenger Transport; Water Drop (Fixed Wing),"circuit breaker, panel, wires leading to the instrument, dimmer switch had not been in the full off, position, tree, at seperate, locations, differing visual, perspectives, torch just, top, below the, possibly, heat, unit, gel is, too, thin, great difficulty getting properagitation and, pumping, powder, to sit on top of the,","smoke, panel rheostat had, burned out, came in contact with the, branches, of a, brushed the, incandlein of the, unexpected, turbulence, abrupt, change in elevation of, terrain, producing, hot, flames impinged on the, barrel, rupture of the transfer, hose, hose to twist and, number 3 engine, flamed, out, seat, expo,","damage, scratches, in, the time, perform, procedure, fire, dropped, equipment was, destroyed, out, struck, snag, through, lost, torch, recovered, lost the, fuse, and, burned out, the, unsuccessfully, arm, tubing, and housing, becoming, coated, with, gel, 5 to 6 foot fire, ball, that rose from the, tip vertically, tree, stopped, working,","shut down, different, operations were, the, hose, removed, from, service, gel, was, from the, area, reacted well, remove the, connection, feather, power, runs, were, made, letdown, spot, disco, the figure, accordian, to burn, assessment, of hem, creek, drainage, trigger, safety, establishing, fire, perimeter, firing, helitorch manager, fire burn boss, briefing,","as a batch, mixer, , ·, preposition, resources, the aerial, ignition, drops, - ups, discrete communications channel, daily, control, operations, continue, ridgeline, ” and, “ 8, special, instructions, coordinate burn, out, divisions, prior to initiating the, boss, following all operational and safety, rules, be within one chain of the, ridge,",3,0.7142857142857143,2.142857142857143,08-0207
Hydraulic Fluid Leak,External Load (Longline) (Non-Fire); Cargo Transport (Internal); Ferry/Repositioning Flight; Retardant Drop (SEAT); Cargo Letdown (Non-Fire); Infrared Imagery; Water Drop (Helicopter Bucket); Other; Aerial Ignition; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Helitorch; Survey/Observation (Non-Fire); Helitack; Aerial Ignition (Prescribed); Detection; Ping-Pong Ball; Passenger Transport (Non-Fire); Water Drop (Fixed Wing); Cargo Letdown; Retardant; Initial Attack; External Load (Belly Hook); Retardant Drop (Helicopter); Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"had no hydraulic, pressure, system was continously, cycling, have, of the, aircraft, the, hydraulic, pump, rotor cr, needed to be, the hydraulic, system, problem, not, hydraulic line had, cracked, was, spraying on the engine, exhaust, shackle, bad, aircraft was, somewhat difficult to, control, splines on the shaft going, were worn,","lost nose wheel, steering, right hydraulic pressure pump line, blew, helicopter started to, shake, grinding, sound, be, shudder, was out of, noise, problem, smoke, twisted, broke the, fitting, to the, line, lost hydraulic, power, 2 hydralic lights, illuminated, on, caution, 2 hydrolic light, hydrolic fluid was, leaking, pressure indicator was","out, ship, hydraulic, release, mission was, terminated, emergency, landing, losing all aircraft, lost, hydraulics, stopped half, way, grounded, aircraft to loose a majority of the hydraulic, fluid, loss of hydraulic, loss of the left, brakes, engines were, shut down, loss, , landing gear failed to, up, replacement, aircraft, with, cup,","right main landing gear diverter valve,, presurized and, leak, checked, diagnosed, repairs, control, with, changed, was changed adn, test run - up, rotor crevo was workihng, changed the cyclic crev, cervo, ground, run, test, isolate, lateral ser, hydraulic, line, controls the release for, pump, pump was, replaced, emergency gear dow,",", off, locked, for, leaks, r &, r landing gear selector, valve, s, availability, thank, copy of, maintenance, log, tested, and, leaked, inputs, checked, reservoir, area, line, pressure, check, system, checked for, reservior, mechanic, flight, shoot, isolated the, filled the hydraulic, tank, look, pumps, verify, wipe, cylinders, keep them, clean,",4,0.12790697674418605,0.5116279069767442,17-0096
