"ID", "SAFENET ID", "Iteration", "Event Start Date", "Event Stop Date", "Incident Name", "Incident Number", "Event State", "Event Jurisdiction", "Event Local Unit", "Event Position Title", "Event Task", "Event Management Level", "Event Resources", "Event Incident Type", "Event Incident Activity", "Event Incident Stage", "Contributing Factors", "Human Factors", "Other Factors", "Narrative", "Immediate Action Taken", "SAFENET Create Date"
"42670","20190107-0001","4","12/23/2018 08:30"," ","OVCC RADIO OUTAGE/ NORTH AND SOUTH","","CA","USFS","Inyo National Forest and Bishop BLM","Assistant Center Manager","Dispatch","N/A","Fire/Law Enforcement/Any ","All Hazard;","Support;","Other;","Communications;Equipment;Environmental;","","","Beginning 12/23/18 the radio link that allows Owens Valley Interagency Communication Center (OVCC) to communicate with its field going resources stopped working.  OVCC's ability to use the radio has been consistently non-functional in the morning hours and the functionality returns intermittently in the early afternoon.  Due to the lack of consistent communication, the Inyo National Forest Service Law Enforcement Captain has made the decision to pull his LEO's from the field.  The Bishop BLM Field Staff L.E Ranger has made the decision not to go into the field unless there is radio communication with OVCC.  This outage has significantly effected OVCC's ability to safely serve its field going resources.  The ongoing Government Shutdown paired with the lack of consistent communication is setting up the Inyo National Forest and Bishop BLM for a serious safety problem if/when a Fire/Natural Disaster or significant Law Enforcement event were to occur.","The outage was reported to the Inyo National Forest Radio Technician (who is currently furloughed due to the ongoing Government Shutdown) along with Forest Service Management and Law Enforcement.  Several mass texts/emails have been sent out to the field going resources indicating the intermittent radio communication link going into OVCC.","11/05/2019 15:59"
"40729","20181011-0001","5","10/03/2018 14:51"," ","Procedure Change for SWIFT   State Wildland Inmate Fire Team ","","CO","State","","Crew Boss","","N/A","","Wildland;","Readiness/Preparedness;","Other;","Human Factors;","Leadership;","","On 03 Oct 2018 the SWIFT Crew Boss's received the following email from our supervisor Andrew Dalton:<br/><br/>'There will be a new deployment procedure for SWIFT Crews effective immediately.  At this time BV SWIFT will no longer be available as a Crew for Fires.  Rifle and Canon will continue to be available for Resource Orders as a Crew for Fires but will only pull 15 Offenders.  It will now require 3 Crew Bosses to deploy to a Fire.  In the event that Rifle or Canon receive a RO each will report to the Incident the evening of the first operational period and will provide supervision of the Offenders while in camp for the duration of the Incident.  The Crews original Crew Bosses will assume responsibility for Offender supervision after the morning briefing and will be responsible for supervision until returning to camp.  Upon returning to camp the Crew Boss from BV will assume responsibility for supervision.  This would mean that the two Crew Bosses from the original facility of the Crew will be On Duty at the start of the Morning Briefing through the Operational period and will go Off Duty upon returning the Offenders to Camp.  The evening supervision Crew Bosses will go On Duty when the Offenders return to camp and go Off Duty when the Crew Bosses return from Morning Briefing.  All Off Duty Crew Bosses are expected to be Off Duty and not performing any Duty Tasks.  The camp supervision is expected to be alert at all times'. <br/><br/><br/>The main safety concern is that if the SWIFT crews, by this new internal policy,  are only allowed to only 'Pull 15 offenders' then the total crew number (with two CRWB) is 17, not the 18-20 crew members required by NWCG standards. From the CRWB perspective it takes 20 committed team members to accomplish the tasks assigned on wildland fire. I have personally worked the fireline with the minimum of 18 members and the loss of personnel was very noticeable. I feel that the loss of 3 crew members will reduce our effectiveness, work capacity and manpower, putting the entire team in unnecessary danger","No actions taken.<br/><br/>I feel it is my responsibility to bring this attempted violation of NWGC policy to the attention of personnel outside of the Colorado Dept of Corrections; with the hope that this policy will be reviewed and if needed challenged.","10/16/2018 11:08"
"40671","20181004-0001","5","10/03/2018 09:30","10/04/2018 11:30","Tahoe N.F. Radio","","CA","USFS","Tahoe N.F. Yuba River R.D.","Captain","Station Captain","N/A","Station Crew","All Hazard;","Readiness/Preparedness;","Other;","Fire Behavior;Communications;Environmental;Human Factors;","Decision Making;Risk Assessment;Situational Awareness;","","For over the last four years I have been assigned to the Big Bend station on the Tahoe National Forest there has been issues with the station base unit radio. Little to no effort has been put into fixing the issue. <br/>What is wrong? We have no communication with dispatch on the tone they use to send out messages to the forest. When the Tahoe ECC sends out a call, Weather, Sit Report, or any other message that needs to be heard by all personal on the Tahoe N.F. they do it on Tone 8. Here at Big Bend we only can be reached on tone 5. They know this and have not made an effort to switch to a tone that works for us to hear the calls that are going out.<br/>This issue has caused us to miss forest extensions in staffing, Emergency calls, and daily weather and fire updates. This is a big safety concern to us.<br/>Solution. Make an effort to find room in the forest budget for upgrades to repeater towers or to add repeater towers where needed.<br/>Or simply switch to Tones that work for the stations that need it. Repeat the message on the proper tones. Other forest do this and have been for years. <br/>I have made multiple calls to the radio shop and have sent out emails to the forest and radio techs for the last four years. Why has it come to this?","Sent out emails and phone calls to forest overhead and to radio techs about this issue. Still waiting for a solution.","10/09/2018 16:27"
"40734","20181005-0001","7","10/02/2018 08:00","10/02/2018 09:00","Bald Mountain Fire","UT-UWF-000892","UT","USFS","UWF","ENGB","Demobbing from incident at Finance","1","Engine crew","Wildland;","Support;Transport to/from;","Demobe;","Human Factors;","Decision Making;Leadership;Risk Assessment;Fatigue;","","On 2 Oct 2018 at approximately 0800 we were de-mobbing from the Bald Mountain Fire (UT-UWF-000892).  Bald Mountain had been combined with the Pole Creek Fire (UT-UWF-000971) and both incidents were under the command of IMT X Team #X, Incident Commander XXXXX <br/><br/>Travel on 17/18 Sept from Clark, WY to Payson, UT was 547 miles.  No one in Finance would sign a travel shift ticket (OF-297), so ENGB XXXX submitted the shift ticket to Ops Chief-planning (t) XXXXX for signature. The shift ticket showed Demob/Travel on 10/2 and Travel on 10/3. <br/><br/>Ops approved both days, as 547 miles divided by 45 mph average is 12.2 hours (VIPR contract Section D.6.5.2) of drive time and a driver is limited to a maximum of 10 hours of drive time per day. (VIPR Contract Section D.6.6, Section D.21.8.1.2 (a) and (b); Interagency Business Management Handbook (4/18 edition) chapter 10 page 10-14 lines 1-3; CFR 49.B.III part 395.3 and 395.5.)<br/><br/>When the shift ticket was presented at Finance it was initially accepted until it reached XXXXX (she did not give her position title, but it appeared she was a supervisor).  XXXXX refused to accept the shift ticket for two days of travel because her calculation from Spanish Fork, UT to Clark, WY was 507 miles or 11.3 hours of drive time and she will not pay for two days of travel.  XXXXX claimed that her interpretation of VIPR contract Section D.3.1 (3) requires ALL personnel on an Engine to have a CDL and be capable of driving the Engine.<br/><br/>ENGB XXXXX left finance and came and got me.  I am the driver/operator of the Engine, ENGB, and owner/president of the company.  <br/><br/>Upon entering the Finance yurt I encountered several individuals we had worked with that informed me that my employee and company had been the topic of conversation between the time ENGB XXXXX left and returned with me.  XXXXX had made it clear to everyone that she was not paying two days travel for 500 miles.<br/><br/>When I approached XXXXX she produced a copy of page 37 of my VIPR agreement including the following section:<br/><br/>“D.3.1 -- TRAINING/EXPERIENCE.<br/>.<br/>(a) Each person employed by the Contractor under this Agreement shall meet the following minimum requirements, and be able to provide evidence that employees meet the requirements upon request:<br/>(1) RT-130 Annual Fireline Refresher including fire shelter<br/>(2) All Tactical Water Tender and Engine personnel shall be trained in accordance with NWCG Wildland Fire Qualifications System Guide PMS 310-1 and qualifications carded in accordance with Exhibit N and Exhibit O, Training and Positions Qualifications Requirements. This does not apply to Support Water Tender personnel.<br/>(3) Commercial Drivers License, when required.<br/>(4) All operators shall be able to operate the equipment safely up to the manufacturers limitations.”  (Bold language was highlighted on her copy)<br/><br/>XXXXX claimed that her interpretation was that all personnel on the Engine must have a Commercial Drivers License (CDL) because “what if the driver got hurt, who would drive the truck?”<br/><br/>After a discussion, I stated that in twelve years we have never been required to have everyone on the Engine have a CDL.  No where in the VIPR agreement, Interagency Handbook, or NWCG 310 does it require a CDL for everyone on an Engine.  Finance XXXXX was asked to show the requirement for everyone to have a CDL.  She could only reference D.3.1 (3), omitting the phrase “when required”.<br/><br/>When I showed her VIPR Contract Section D.6.5.2 -- The Government will estimate the travel time to and from the incident. Travel time via ground transportation shall be calculated by dividing distance (from point of hire to incident, or incident to incident or incident to point of hire) by average travel speed of 45 mph, plus applicable rest time. And D.21.8.1.2 -- Driver Hour Limitation - The following Driver Hour limitations, as referenced at D.6.6, shall apply to this agreement:<br/>(a) No driver will drive more than 10 hours (behind the wheel/actual driving time) within any dutyday (operational period, see Exhibit A).<br/><br/>XXXXX stated that she was not paying a crew just to drive 450 miles in a day.  She stated that we are only 507 miles from home and can easily drive that in a day.  That is why she said that everyone is required to have a CDL so that after the first driver drives 10 hours the second one can drive 10 hours and so on.<br/><br/>I informed her that even if everyone on the truck had a CDL the most they could drive would be 14 hours and then everyone would have to have 10 hours off under CFR 49.<br/><br/>XXXXX stated that there was a Contracting Officer present and brought XXXXX (PROC) into the discussion.  XXXXX immediately agreed with XXXXX that all personnel on an Engine need to have a CDL and be able to drive the truck.<br/><br/>XXXXX then had XXXXX email my Regional Contracting Officer, XXXXX to see if she was available.  XXXXX then called and put XXXXX on speaker phone.  XXXXX then read “D.3.1 <br/>(a) Each person employed by the Contractor under this Agreement shall meet the following minimum requirements,<br/>(3) Commercial Drivers License.”<br/><br/>XXXXX agreed that required everyone on the Engine to have a CDL.  <br/><br/>I made myself known to XXXXX that I was hearing the call (XXXXX then advised her that we were on speaker phone) and that we have never had to have everyone on the Engine able to drive, to do so now would constitute a material change in the contract.<br/><br/>XXXXX then accused me of arguing with them so that they would have to pay for a second day.  She stated that since we had been on the clock since 0700 and it was now almost 0900 and we have 11.3 hours of driving we are at 13.3 hours of work, so we are trying to delay and argue until we have more than 14 hours.<br/><br/>At that time I said I would sign the invoice in protest and dispute it later.  <br/><br/>I then signed the invoice, cleared through Demob, and we left.<br/><br/>All of this took place very publically and loudly so that every person, engine, or crew that was out processing at that time was made aware that XXXXX, XXXXX, and later XXXXX felt that driving for only 10 hours or 450 miles (after working a 13 day assignment) was not enough.  <br/><br/>XXXXX and XXXXX passion in arguing that only driving 10 hours is unacceptable to them indicated that this is not the first time they have based decisions of personal basis.<br/><br/>Instead of following the requirements of the VIPR contracts, Interagency Business Handbook, and Code of Federal Regulation they use coercion, intimidation, public shaming, defamation, and withholding of approved funds to push their personal agendas. <br/><br/>It does no good for the Incident Commander, Ops Chief, and team Safety to preach safety, especially when traveling home if the last people that departing resources encounter demand that they travel longer, faster, and with fewer breaks to save a few dollars.<br/><br/>The willful violation of travel rules and regulations by these individuals jeopardizes the health and safety of everyone and can lead to injury or death of firefighters and the general public.","I took personal action to follow the travel time and broke it up into two days, regardless of pay. <br/><br/>I recommend that all personnel involved in finance and demob on any incident receive training on the travel time requirement of VIPR contracts, Interagency Business Handbook, and Code of Federal Regulation.<br/><br/>I recommend a review of all post demob accidents (especially those involving injury or death) to see if any contact or actions of those involved in this incident played a part.","10/16/2018 13:26"
"40630","20180921-0001","6","09/19/2018 13:35"," ","Delta Fire","P5L4L8","CA","USFS","Mount Shasta","","","1","Ground Support","Wildland;","Line;Support;Transport to/from;","Other;","Communications;Equipment;Human Factors;","Decision Making;Leadership;","","On the Delta Fire, eleven (11) Ground Support Contract Trucks with Drivers (VIPR Contractors) were responsible for transporting supplies, personnel, and misc to and from Delta Fire ICP and operational destinations on the Delta Fire.  These contractors traveled hundreds of miles each day on Forest Service roads delivering personnel and supplies to Drop Points, Helibases, Staging Areas, etc.  They were originally allowed to check out command radios.  They were instructed in the use of command radios so that they could communicate with divisions.  Communication by radio with divisions is necessary so that Ground Support drivers can interface with operations and operational ground traffic in way of avoiding potential accidents and mishaps with other operational ground traffic.<br/><br/>On or about 9/19/18, the logistics section chief (LSC) with told the aforementioned 11 Ground Support Drivers that they were to 'return all command radios to the Communication Unit because Boise wanted the radios back'.  The Ground Support Unit Leader explained to the LSC that the use of command radios by Ground Support drivers is an essential safety protocol and that the use of command radios by Ground Support allows Ground Support drivers communication with operational ground resources in way of avoiding conflicts, accidents, mishaps and collisions.  <br/><br/>Nevertheless she (the LSC) demanded that the command radios be returned to the Communication Unit, and they were returned according to her instructions.<br/><br/>My feeling is that the need to return the radios to Boise in no way outweighed the need for the radios on the incident.  I feel that the LSC's demand to have the radios removed increased exposure to risk to the Ground Support drivers and to the operational personnel and equipment they encountered after the radios were removed.  I think it was a bad decision, and that decision increased exposure to risk for a number of incident personnel for several operational periods.","Ground support overhead (EQPMs) immediately expressed concerned to the Ground Support Unit Leader (GSUL).  He (the GSUL) expressed concerns to the LSC, but she persisted in demanding that the command radios be turned in by the Ground Support drivers.  I think also that the GSUL brought the concern to the SOFR.<br/><br/>Later in the incident (on or about 9/29/18), in way of trying to mitigate the poor decision made by the LSC, the Ground Support Unit Leader checked out three command radios for use by Ground Support drivers; however, because of the limited number of radios available (three radios for about 11 ground support drivers) there were still instances when Ground Support drivers were required to go to operational destinations without proper means of communicating with operational personnel.","10/01/2018 15:53"
"40511","20180911-0001","4","09/10/2018 23:59"," ","Crescent Mountain","","WA","USFS","","","","1","Overhead","Wildland;","Support;","Extended Attack;Transfer of Command;","Human Factors;","Decision Making;Leadership;","","The INCM from had a single RADO on night shift on 09/10/2018 that has two spike camps as well as a large ICP camp. No attempt was made by the INCM or Team members to ensure that the lone RADO had a partner throughout the night. The INCM mismanaged her resources throughout the incident resulting in this issue during a team rotation which as we all know is a critical juncture during a fire. The INCM knew well in advance when all RADOs were timing out and what resources if any were inbound to the incident.","I didn't find out about this situation until the following morning and I informed the COML/COMT of the situation. Seeing as the INCM in question is leaving the same day nothing was done to correct the situation.","09/13/2018 10:01"
"40572","20180914-0001","5","09/10/2018 16:30"," ","delta fire","p5l4l8","CA","USFS","","supply","Camp Activites","1","engines","Wildland;","Support;","Extended Attack;","Human Factors;","Leadership;","","no window washing fluid in supply vehicle driving in dusty dirty conditions and traveling to and from incident on I5 with dirty windows was told it is not there responsible for providing window cleaner","had to buy our own window cleaner thigh it took many days","09/18/2018 16:26"
"40827","20180914-0002","5","09/10/2018 16:30"," ","delta fire","p5l4l8","CA","USFS","","supply","Camp Activites","1","engines","Wildland;","Support;","Extended Attack;","Human Factors;","Leadership;","","The views and opinions included in the narrative of this SAFENET belong to their author and do not meet the standard for publication. SAFENET submissions should be made on firsthand observation or participation in the identified event.  Submittals based solely on hearsay or other secondhand information and contain unprofessional content will not be posted.","had to buy our own window cleaner thigh it took many days","12/19/2018 16:27"
"40552","20180911-0002","5","09/10/2018 06:00"," ","Distracted driver","","TX","FWS","2441","ENOP","Driver","N/A","Type 4 engine","Wildland;","Transport to/from;","Non-incident;","Human Factors;","Decision Making;Leadership;","","While on the way back from an Idaho fire assignment, both drivers were using cell phones while driving the fire engine down the interstate; texting, seeing news updates, watching a football game.","I told enop and cpt my pet peeves was driver's on cell phone.  <br/>The response I got was that they don't like back seat drivers.","09/17/2018 09:07"
"40569","20180912-0001","3","09/09/2018 21:00"," ","Saddle","221 DBC","WA","State","","Firefighters","travel to and from fireline","4","firefighters","Wildland;","Transport to/from;","Mop Up;","Environmental;Human Factors;","Decision Making;Situational Awareness;","","The event that took place happened after finishing dinner on the second working day for the fire. We were traveling from dinner back to the hotel. The restaurant that we eat at is located on a one way street which we had traveled to reach the fire line the previous day as well as the day of the incident. I believe that this was pretty well known the road is a one way street since we had driven down the road numerous times as well as traveling the road to arrive at dinner. The road is divided by a median that has frequent breaks for turning around to go the direction you want to travel. He asked the passenger before they pulled out onto the road if he was clear to turn. The passenger responded yes thinking that the driver was wondering if there was a curb or ditch on the passenger side of the vehicle. The individual driving a state assigned vehicle then pulled out of the parking lot and took a hard left turn which put them traveling the wrong direction on the one way street. There was a vehicle traveling in the correct direction down the street when this took place. The driver did manage to stay mostly onto the shoulder with a small amount of the vehicle being in the lane. This is a two lane road and the vehicle traveling in the correct direction was in the far lane from the shoulder. This did happen when it was dark outside which could have contributed to the driver not seeing the median. I believe that the driver had plenty of rest leading into this incident because the two days we worked this fire we were getting lots of breaks and had an easy assignment. The concern/potential issue with this incident is that it could have easily resulted into a head on collision with the potential for serious injuries. The safety issue I see after watching this incident is when getting thrown onto a engine or hand crew where you are meeting up with other people who you may or may not know and know how many fires they have been on. Then you get into a vehicle with them not knowing how tired someone is as well as any previous driving history the person has. This not only could be putting themselves at risk but the passengers as well.","When we arrived back at the hotel there was a discussion with the driver of the vehicle where the question was asked about being able to see and drive at night with the answer being yes I can see fine at night. The discussion with the individual will hopefully mitigate this from happening again in the future there was not a whole lot to mitigate during the incident itself aside from what the driver did after making the decision to turn the wrong way down a one way road.","09/18/2018 10:24"
