"ID", "SAFENET ID", "Iteration", "Event Start Date", "Event Stop Date", "Incident Name", "Incident Number", "Event State", "Event Jurisdiction", "Event Local Unit", "Event Position Title", "Event Task", "Event Management Level", "Event Resources", "Event Incident Type", "Event Incident Activity", "Event Incident Stage", "Contributing Factors", "Human Factors", "Other Factors", "Narrative", "Immediate Action Taken", "SAFENET Create Date"
"36947","20161122-0001","2","11/13/2016 12:00"," ","Woodland Fire","P8KS7517","KY","USFS","Cumberland","","Communication","2","All units utilizing communication equipment","Wildland;","Line;","Initial Attack;Extended Attack;Transfer of Command;Mop Up;","Communications;Equipment;","","","During this incident and following days, units ability to communicate with dispatch or other firefighters using the repeater sites have been sketchy at best.  An example was dispatch attempting to give a weather briefing, units heard about three broken words during the entire transmission.  Radio tech stated the dispatcher lacked the proper harmonics and voice projection to allow the radio to broadcast appropriately.  <br/>This problem isn't something that has recently occurred because Law Enforcement is moving to another system because they fear their safety.  Using this system the past couple weeks has proved a challenge.  There are so many areas without cell service, that the radio is our primary means of contacting help in the event of a medical event.  How can we explain to a family that the reason a firefighter didn't receive proper care was the lack of proper harmonics or voice projection.  Please send help to this forest!!","During AAR and morning briefings, stressed the need to set up human repeaters in areas with cell phone capabilities.  Utilizing a simplex TAC channel, contact would be made to HR and they would then forward to proper persons via simplex or cell.","11/30/2016 09:22"
"36928","20161112-0001","3","11/11/2016 11:16"," ","FY17 ChattOconee Fire Support","P8EK6R","GA","USFS","GA-CHF","Duty Officer/Fire Management Officer(Acting)","Radio Communication","N/A","District Fire Programs and Incident Management Teams","Wildland;","Support;","Initial Attack;Extended Attack;","Communications;","Situational Awareness;","","The District FMO's, Firefighters, and Incident Management Teams are reporting widespread communication problems with the forest repeater system.  The forest has one repeater channel and repeaters are not functioning correctly.  Daily, resources on the ground cannot reach dispatch and they cannot hear dispatch.","We have ordered portable repeaters and a communications technician to set the system up on each district.","11/23/2016 08:23"
"40840","20161207-0002","5","11/11/2016 11:00","11/13/2016 21:00","Neddy Mountain Fire","p8ktn817","TN","Other","Unaka Ranger District","ICT-4","Request Saftey Officer","4","All person on the fire","Wildland;","Support;","Extended Attack;","Human Factors;","Decision Making;Leadership;Risk Assessment;Performance;Situational Awareness;","","The views and opinions included in the narrative of this SAFENET belong to their author and do not meet the standard for publication. SAFENET submissions should be made on firsthand observation or participation in the identified event.  Submittals based solely on hearsay or other secondhand information and contain unprofessional content will not be posted.","1 we started the burn out earlier than plan using cooler weather to help us<br/><br/>2 we got T-DOT to take down snags along 25/70 with a grade-all rubber tired vehicle<br/><br/>3 all over head were to brief on safety precaution and keep safety at the fore front of everything we do<br/><br/>4 we closed public roads that fire would affect to fire and emergency vehicle only","12/19/2018 16:30"
"37307","20161207-0001","2","11/07/2016 12:00"," ","Woodland Fire","P8KS7517","KY","USFS","Cumberland","Firefighter","Line Construction And Mop-Up, patrol ","3","Crews and overhead","Wildland;","Line;","Initial Attack;Extended Attack;Mop Up;Non-incident;","Communications;Equipment;","Decision Making;Leadership;Performance;","","During the Woodland fire and for several days after the districts radio system was unreliable and almost useless most of the time.  Multiple times throughout the assignment we could not communicate consistently with dispatch and other resources.  Even when we could see the repeater we had trouble hearing dispatch or they couldn't hear us.  Occasionally it worked correctly but it was consistently bad.  We tried multiple radios all over the district trying to determine if it was our radios or the repeater system that had the issue, no matter which radio we used we still had problems.  <br/>The district personnel have become use to the system not working and deal with they best they can.  They brief incoming resources on the lack of reliable radio coverage and how it impacts LCES, and the need for human repeaters to be in areas with good cell service. It appears that no one takes the district's concerns seriously about the radio system which puts them and incoming resources at risk.<br/>Working all over the country and for multiple agencies, I have never encountered a radio system that is as unreliable and unsafe as the one on the Cumberland Ranger District.","All personnel were briefed on the problems and made aware of the risk.  If  using human repeaters are used try to have good cell coverage to mitigate the problem.  Basically don't rely on the radios if you need help.","05/16/2017 08:20"
"36948","20161118-0001","2","11/04/2016 08:00"," ","Raven Rock","","VA","USFS","George Washington & Jefferson NF, South Zone Fire","Zone Fire Managemen Officer","All Activities","3","all","Wildland;","Line;","Initial Attack;Extended Attack;","Communications;","","","Since the beginning of the Raven Rock Fire we have had issues with the fire activity in North Carolina using our radio channels. It started with TAC 3,WE  have a total of 4 TAC channels so we stopped using that one. Yesterday the activity in North Carolina was using one of our command repeater today they are using the other command repeater. In doing this they are tying up our channels to the point that we cannot use them. We have high fire danger today so our initial attack forces have to use all of our channels to safely do our jobs. In addition to the IA activities we have on going large fires as well.","Nothing we can do except try talk between their traffic","11/30/2016 09:22"
"37268","20170510-0001","3","11/03/2016 16:59"," ","UMA Repeater","","CO","BIA","UMA","Dispatch Support","Dispatch And Initial Attack","N/A","Dispatch Center, EMS, Tribal PD and field personnel. ","All Hazard;","Support;","Other;","Communications;Environmental;Human Factors;","Situational Awareness;","","Incident Date: 11/03/2016 through 5/10/2017 (current) <br/><br/>Incident Name: Recorded in WildCAD under Miscellaneous Radio/Repeater, (2016 Incident #) CO-UMA-001487 UMA Repeater & (2017 Incident #) CO-UMA-000006 UMA Hermano Repeater<br/><br/>Incident Type: Communication Issue<br/><br/>Effected Individuals: The Dispatch Centers Ute Mountain radio bank, field resource typically cannot hear the traffic, but can if they are on high enough terrain in the area.  <br/><br/>Issue / Concern: The Dispatch Centers Ute Mountain radio bank has occasional radio traffic bleed over from Hopi EMS and Tribal PD. This radio traffic bleed over can include: tone outs, dispatched resources, additional resource requests, patient vitals or unreadable static. Transmissions can last anywhere from 6 to 55 seconds depending on the transmission length and are unpredictable in occurrence and timing. <br/><br/>The concern of the Dispatch Center is that this radio traffic bleed over occupies the Hermano frequency which in turn occupies our Ute Mountain radio bank, not allowing local unit traffic to come through. This hinders our communication with the field, fire personnel and emergency traffic. Occasional static can also lead to complacency within the Dispatch Center as writing of traffic due to bleed over.","Multiple concerns were brought up from dispatch to the local BIA unit radio technician. It was first explained that the bleed over was a rare occurrence that allowed atmospheric conditions to line up properly and allow clear traffic transmission from Hopi to Durango. As radio traffic bleed over became more frequent, additional concern was brought forward in seeking a solution. After further review, the issue was identified as utilizing the incorrect RFA authorized frequency on their repeater bank. RFA authorized frequencies are mandated to individual groups, Ute Mountain BIA was utilizing frequency 165.6 and was issued RFA frequency 165.0. <br/><br/>What we learned: The issue was identified as an incorrect RFA frequency and is in the process of being corrected. This correction will minimize if not negate the radio traffic bleed over the Dispatch Center was experiencing over the Ute Mountain radio bank. This will also minimize safety concerns brought forward by the Dispatch Center. No matter how small or big the issue is, following the “If you see something, say something” philosophy we can help everyone communicate more effective and provide a better level of self-awareness within the ISO system.","05/15/2017 08:21"
"37087","20170328-0001","2","11/01/2016 08:00"," ","North Kaibab Radio issues","","AZ","USFS","North Kaibab Ranger District","North Zone Fire Management Officer","Radio Communications","N/A","district resources","All Hazard;","Support;","Other;","Communications;","Situational Awareness;","radio technical issues, non compliance with communication standards","The North Kaibab Ranger district has a system of radios, repeaters, and microwave dishes that provide a link to Williams Interagency Dispatch. Williams is our key contact for safety and communications. <br/><br/>The area is remote, the district is a long way from radio service. The system was identified to replace the 'old' microwave dishes and install new technology. <br/><br/>The dishes were replaced and since then we have not had communications via the radio system.<br/><br/>We do not have a communications with areas of the district via radio, and the we cannot communicate with Williams Interagency dispatch consistently.<br/><br/>We have been providing information and our worry that we are going to have an 'incident' and not have a way to communicate and thus not provide an adequate response.","I have been working with CIO and the techs to come up with the 'fix'. I keep hearing it will be fixed by fire season. We are in fire season here now. We have district personnel going into the field everyday.","04/03/2017 07:40"
"36851","20161005-0002","3","10/05/2016 12:30"," ","Burlando","","CA","USFS","CA-SQF Kern River Ranger District ","IC","Suppression","4","USFS, Kern County BLM","Wildland;All Hazard;","Line;Support;Transport to/from;","Initial Attack;Extended Attack;Transfer of Command;Mop Up;Demobe;","Communications;","Decision Making;Leadership;Situational Awareness;","","The following email were sent out to the fire management group:<br/><br/>9/29<br/>All, The communication shop is changing frequencies of the Sequoia F1, F2, F3, F4, and F5 channels (transmit and receive). I have the new frequencies as well as the old (current) frequencies combined in new groups so that you will have continuous communication once I clone all of your radios (HT’s, mobiles, bases). Contact me at your earliest convenience so I can get around to everyone before the end of next week. [Tower crew] thinks he and his crew will be starting on the KRRD towers (repeaters) by Wednesday of next week. I will be available tomorrow (Friday), Saturday Oct 1st , and all of next week to get this done. My goal is to have it all done by the end of Tuesday. It will be easier for you to bring all of your equipment (minus the base stations) to me in Kernville, but I can travel too with my laptop and cables. Come see me! <br/><br/>10/5<br/>Tones 8 and 3 were completed yesterday for the northern Districts. Today’s plan is to switch out tones 4,5,7,and 10. Tomorrow (Thursday) tones 9 and 11 will be completed. What does this mean for you? If you are using channels 2 or 4 today and you are talking on tones 4,5,7 or 10 then you will continue to use the old channels 2 and 4 that have been put in your radio until you hear notification from Dispatch and/or me at which time you will switch to the new groups in your radio  to use the new channels 2 and 4. But remember, if you are on the new channels this afternoon and then need to use tones 9 or 11 you will have to change back to the old channels 2 and 4. Clear? Please call me if you need further clarification, thanks.<br/><br/>No one I talked to really understood how this was all going to work or the progression of the repeaters.<br/><br/>During an initial attack the previous day there was a lot of confusion between KCFD and USFS based on when we were to be using the 'new' frequencies.  KC had already reprogrammed and were under the impression we were already using them.  However, we were not.  The FS repeater is supposed to the command channel in an interagency response.  KCFD was not able to communicate on it. This caused a safety concern with ground resources and aircraft.<br/><br/>The following day on the Burlando fire the same thing happened, but even more frustrating is repeaters were being worked and switched over during the fire.  The forest now has some repeaters on the old frequencies and some on the knew.  Depending on the location of the fire this could cause several issues.  The radio tech tried to take one of the repeaters off line during the IA but was advised by fire personnel to stop.  Towards the end of the fire a call came out from dispatch advising that 2 more repeaters had just been activated with the new freqs.  That means if we are on an incident in the local area we may have to switch banks back and forth just to communicate between repeaters that have new and old frequencies. <br/><br/>We understand there was a reason that the frequencies needed to be updated, but in the middle of fire season when we are running calls is the worst time.  Not knowing all of the contributing factors from above I am unsure of what we could do better next time.  All I can speak to is the worry and frustration it caused for the resources on the ground.","Had a discussion with the cooperating agency and tied them in with the FMO who is in charge of the change over.  <br/><br/>Reminded everyone that we cannot currently rely on our radio system until the repeaters are all switched and confirmed.  I ensured that everyone is on the same page and to be hyper aware of possible issues.<br/><br/>Utilized KFCD channel Kern 3 as needed to communicate with Kern County.<br/><br/>Shared the concern of all local firefighters with the FMO.","10/14/2016 07:34"
"36849","20161006-0001","2","10/04/2016 11:10","10/04/2016 12:15","Red Creek #5","P9KRC5","WV","USFS","","Incident Commander Type 4","Patrol And Mop","4","Engine 611","Wildland;","Line;","Extended Attack;","Communications;","","","Myself, as ICT4, and crew of 3 were hiking into fire within Dolly Sods Wilderness.  1/3 of the way to the fire I was contacted by Dispatch @ 1110 that Dispatch was going to be 'closed' from 1130-1230.  I asked if the radio console was going to be staffed during this time and I was informed that it was not.  <br/><br/>Being on a active fire event, I was extremely concerned that we were not going to have radio communications within the wilderness area that we were hiking into.  I informed Dispatch that this was not acceptable and requested a solution.  I was prepared to turn the crew around and hike out if a solution was not found.  <br/><br/>At this time, I was informed by one of my crew, that this same situation occurred last week, prior to my assuming command of this incident.  <br/><br/>It took 16 minutes for Dispatch to contact me back with a working solution.  This led me to conclude that there was not a contingency plan developed for this 'shut down' of Dispatch.","I was prepared to turn crew around and hike out if solution was not found.<br/><br/>After waiting 16 minutes, an alternate radio operator was found at another district office between 1130-1230.","10/14/2016 07:29"
"36827","20160929-0001","2","09/29/2016 12:05","09/29/2016 12:12","Pioner Fire","KGG1","ID","USFS","","Safety Officer","Line Safety","1","Pickup Truck","Wildland;","Line;","Mop Up;","Human Factors;","Situational Awareness;","","Last day on the shift private aircraft were doing practice landings and takeoffs at the Deadwood Airstrip. During this time, the two line safety officers were acting as road guards to keep vehicles from passing on the uphill side of the airstrip. A pickup working for the fire passed one of the safety officers and then proceeded to drive down the runway thus disregarding the signs and the road guards. The plane did a landing and turned around at the uphill side of the runway to take off. At this time the vehicle pulled out at the bottom of the runway but waited off to the side while the aircraft took off. When the aircraft cleared the vehicle drove back up the runway to enter road 555 but was stopped by both safety officers and briefed, then released.","Lead safety was briefed and in the future when there are open back country airstrips all personnel are briefed with this emphasis.","10/11/2016 07:44"
