"ID", "SAFENET ID", "Iteration", "Event Start Date", "Event Stop Date", "Incident Name", "Incident Number", "Event State", "Event Jurisdiction", "Event Local Unit", "Event Position Title", "Event Task", "Event Management Level", "Event Resources", "Event Incident Type", "Event Incident Activity", "Event Incident Stage", "Contributing Factors", "Human Factors", "Other Factors", "Narrative", "Immediate Action Taken", "SAFENET Create Date"
"44987","20201216-0001","2","12/16/2020 12:00"," ","Payne Gulch Pile burn MHYC","WFSE1621","CO","USFS","CO-PSF-South Platte","Forestry Technician","Pile Burning","N/A","18 members of Mile High Youth Corp and 4 members of USFS","Prescribed/Fuels Treatment;","Readiness/Preparedness;","Other;","Communications;Human Factors;Other;","Decision Making;Situational Awareness;","Poor on-unit communication of Rx activity involving over 20 MHYC and FS personnel. ","The FDO was made aware, via email, that a small scale pile burn would be taking place on unit, the very first of the year. The pile burn also surprised the Fuels Battalion, Fuels Technician, both Engine Captains and Line.<br/><br/>It creates a safety issue when Rx burns are discussed, after hours, between only two people and a go-ahead is given without looping in the rest of District and Forest leadership until the time of the event. Backdoor comms discussing this type of activity are unsafe and inappropriate.","Communicated with colleagues in order to ensure communication of these types of events include a wider audience.","12/17/2020 13:00"
"44928","20201120-0001","2","11/19/2020 12:00","11/19/2020 12:00","Mile High Youth Corp Pile Burning","P2EK4Q21","CO","USFS","PSICC South Platte RD. ","Forestry Technician","Train to burn piles and then implement pile burns. ","N/A","USFS personell, Mile High Youth Corp, Community of Bailey","Prescribed/Fuels Treatment;","Transport to/from;","Non-incident;","Communications;Environmental;Human Factors;Other;","Decision Making;Leadership;Risk Assessment;Fatigue;","Covid19, Cognitive Dissonance and self gratification. ","The Ranger District CO-PSF is planning on bringing 18 members of a youth corp in order to assist with burning piles. This will require in-person training from scratch and significant close supervision by numerous FS employees. Currently, Covid cases are raging through the area and taxing local infrastructure. There are also positive cases on-unit which has deteriorated capacity. <br/><br/>The forest has already met fuels targets for the year, we are still in Stage 1 fire restrictions, local personnel are fatigued from fire season/covid and now Covid 19 is resurging through this small mountain community with little to no medical capacity. Local FS leadership, clouded by partnership dollars, are motivated by their own self gratification. The youth corp is their legacy and they get many accolades/recognition for the program. These accolades have created an atmosphere where they will put people in harms way to preserve their legacy. and the partnership supersedes the health, physical and mental well-being of their very own employees. <br/><br/>Lesson: When leadership has created a program that they have seemingly lost control of, personnel pay a safety price. As of this writing covid deaths are at an all time high, ICU beds are at 95% capacity and Covid is spreading unmitigated. Schools have closed, restaurants are take out only, private industry has gone to maximum telework and our own governor discourages crowds of ANY size. Our people are being put in harms way for the self gratification of leadership that will not tolerate dissent in any form. Tunnel vision on maintaining a partnership has become a distraction and someone is going to get sick/hospitalized or die over a non-emergency planned event with a low reward of pile burning. Unacceptable.","Numerous emails, phone calls and text messages asking for reconsideration were summarily dismissed with a 'Thank you for your concern' reply.  The plan still stands despite Covid-19 worsening by the day.","11/23/2020 16:08"
"44888","20201117-0001","2","11/15/2020 08:00"," ","Dispatch, Forest IA and Large Fire Support","","NC","USFS","NC-NCF","Forest FMO","Forest DO, Prorgram Oversight","3","All","Wildland;Prescribed/Fuels Treatment;All Hazard;","Line;","Initial Attack;Extended Attack;","Communications;","","Radio and IT system","Forest Dispatch has lost communication capability on XXXXX Repeater via VoIP. This is the primary repeater for 2 ranger districts where we were engaged in fall IA fire suppression.<br/><br/>This situation happens at least once or twice per year.<br/>Past fixes  of 'replacing the switch' are only short term, but this has been allowed to occur for years. Local Comm Techs have stated 'finding the real issue will be finding a needle in a haystack'<br/><br/>No one has yet to address the wiring system that the communications is routed through. It is 40 plus years old, the equipment is a 'rats nest' of wires.  There is not adequate space to move and troubleshoot issues without other wires coming out. The other part of this network is in a closet, an actual broom closet, with a hot water heater as well, and no space to work on equipment.<br/><br/>Considering this system is the link to provide VoIP back and forth to Forest Dispatch and the field, it needs to be completely relocated and rewired.<br/><br/>We cannot provide fire and aviation communications and oversight from dispatch to the field without this system.","Local Comm Techs quickly responded to the address the issue.  They checked the dispatch consoles and found no issues. They then went to the district office and are trying their best to solve the issue.  They are not confident they will be able to.<br/><br/>'If we even figure it out will be pure luck'.  Again they are trying but the storage area and past practices of leaving wires hanging, nothing labeled, and not enough space to move and work on equipment has create situation that they likely cannot solve or fix.<br/><br/>We have contingency plan to locate an IADP/ACDP to the local office.<br/>This is reverting to back 4th tier dispatch, but is our best alternative to maintain communications related to safety oversight.  The dependency of an IT system leaves us no choice until the problem is resolved.","11/19/2020 12:07"
"44828","20201105-0001","2","11/05/2020 12:00","11/05/2020 12:30","Tire Adjudication","","TN","USFS","Watauga District Cherokee National Forest","Militia ","Daily Driving","N/A","Light Duty Pickup","All Hazard;","Transport to/from;","Other;","Other;","Decision Making;","Selective use of Policy Directives","Unit Fleet officer on the forest is preventing the purchase of heavy duty tires for non-fire vehicles on unit jeopardizing employee safety. Even though Some unit vehicles are not assigned to fire personnel those vehicles are still used on wildlife and prescribed fires in heavy duty applications. Further, these same vehicles are used day to day in heavy duty applications due to local FS  roads conditions. Preventing the purchase of these load range E tires could result in a FATALITY!","Have forwarded email to supervisor.","11/09/2020 10:03"
"44847","20201109-0001","2","11/01/2020 08:00"," ","Wayne Fire Support","","OH","USFS","Wayne National Forest","","","N/A","","Wildland;","Line;Readiness/Preparedness;","Initial Attack;","Communications;Equipment;","Performance;Situational Awareness;","","Forest Service Radio equipment has been experiencing issues specifically the links that connect the forest to the Mid Atlantic Coordination Center.  We have issues with radio infrastructure each year, however this is the first fall with the new dispatch center located 6 hours away and radio equipment will fail then work again.  This morning 11/9 all links from forest to dispatch are inoperable and where we currently have resources committed, no cell phone service and so limited connectivity with dispatch.  Dispatch put tickets in and tickets were subsequently downgraded or closed with remedy. I believe this is a network issue but unsure.","I have attempted to contact CIO several times this morning including the Regional LMR program manager, no answer. Fire program has a small number of 800 mhz radios with state frequencies and thankfully we were able to connect the 800 mhz system to the dispatch consoles so that is are only backup, however, we are limited on the number of 800 mhz radios and not all Incident Commanders have one.","11/12/2020 11:22"
"44787","20201028-0001","2","10/26/2020 07:00","10/28/2020 07:00","Kenwood Rx","","OK","BIA","OKCNA (Cherokee Nation)","FAL2 / Fuels Tech","Line Construction, Snagging, felling","N/A"," Crew Boss, Lead Fuels Tech, Fuels Tech, Fuels Tech","Prescribed/Fuels Treatment;","Line;","Other;","Communications;Equipment;Environmental;Human Factors;","Decision Making;Leadership;Risk Assessment;Situational Awareness;","","On Monday October 26, 2020, our fuels crew was tasked with line construction on a prescribed fire burn<br/>unit in Kenwood, OK. Weather for the day included rain, lightning, wind, and cold temperatures.<br/><br/>When the Lead Fuels Tech, Fuels Tech, and I (Fuels Tech) arrived to the project site, at approximately 9am,<br/>we were informed that our job for the day was to weed-eat around the power poles. It was raining with<br/>both thunder and lightning. Lightning maps and weather archives will confirm this.<br/><br/>I asked our Lead Fuels tech, 'Do you really think that weed-eating these power-poles in the middle of a<br/>lightning storm, with these lightning rods strapped to us is that important that we can't wait this out?'<br/>His response was, 'The Crew Boss sent us up here to do a job, so we're going to knock it out since we're<br/>already here'.<br/><br/>Over the course of just over an hour, the three of us using one chainsaw and two weed-eaters proceeded<br/>to clear fuel within roughly a 30-foot diameter of the power poles and guide-wires. I observed at least five<br/>lightning events that were (by using the three-second count/ mile theory) within one mile of our location.<br/>When we were finished with the job and back in the truck, we were all soaking wet and cold.<br/>Fast forward to today (October 28, 2020).<br/><br/>Upon arriving to work, I asked the Lead Fuels Tech what we would be doing for the day. He informed me<br/>that we would be cutting line today to finish the line that we have been working on for approximately 5<br/>days. The remaining stretch of line is approximately 1/5 of a mile. My job is to run the chainsaw.<br/><br/>Weather forecast for today shows our work area under a flood watch<br/>Rain and possibly a thunderstorm. High near 51. Northeast wind 5 to 10 mph. Chance of precipitation is<br/>90%. New rainfall amounts between three quarters and one inch possible.<br/><br/>I asked our Lead Tech if he was serious. He said, 'Yeah, I'm dead serious. The Crew Boss wants that line<br/>finished today, and, he's not letting us take the UTV, so I guess we'll just have to hike our asses off with<br/>all of our gear in the rain'.<br/><br/>I then asked the Fuels Tech if he had seen the radar. He said, 'The Crew Boss was in there looking at the<br/>radar and he doesn’t think it's going to be raining up there.'<br/>When the Crew Boss (supervisor) got out of the shower, I asked him, 'Are you really going to make us go<br/>up there today and cut that line out?'<br/><br/>He responded, 'Yes, I am. I'm being nice. I'm giving you a job to do. If it's raining, you all should really be<br/>sitting at home and not getting paid.'<br/><br/>My response was, 'Friday is supposed to be clear and sunny with highs in the fifties. If that is the case, can<br/>you not send us home today and have us cut that line on Friday? Kenwood is currently under a flood watch<br/>with thunderstorms forecasted for the next 48 hours.'<br/><br/>He then gave me a slew of vulgarities and told me to, 'Turn all my shit in, go home, and don't ever come<br/>back'.<br/><br/>I did what he said, and I am now unemployed. Why? Because I questioned his tactics.","During the lightning event on Monday, I asked our Lead Tech if we could wait-out the lightning. I also<br/>identified the following hazards:<br/>-lightning<br/>-power lines<br/>-power poles<br/>-metal power equipment<br/>-rain<br/>-air temperature<br/>-mission importance<br/><br/>During today's event, I communicated current and predicted weather conditions to my supervisor. I<br/>presented him with the same list of hazards above. I also presented him with an alternative solution.<br/>And questioning his decision making skills got me fired.<br/><br/>It is my opinion that the Crew Boss (supervisor) does not take the health and safety of his subordinates<br/>seriously. Two of us are temporary/ part-time employees. We do not accrue sick or annual leave. If we<br/>get sick and have to miss work, we just have to miss work and take LWOP, or come to work sick. I am not<br/>disgruntled, just stating the facts of how things are being ran under the Crew Boss’ (supervisor’s)<br/>'leadership'.","10/29/2020 12:47"
"44747","20201011-0001","2","10/09/2020 07:00"," ","August Complex","P5NFP4","CA","USFS","","TFLD","Directing Fire Resources in Fire Fighting Activities ","1","All Resources ","Wildland;","Line;","Other;","Communications;Human Factors;Other;","Situational Awareness;","Reliance on Radio Briefings on primary Command channels","Two communications safety concerns have been prevalent for several days and have been compounded over the last few days.  <br/>1) Communications unit has over several days been miss cloning radios several resources radios with wrong groups (zones), miss cloning radios or providing no clones. (Tac X was actually in Tac Ys space, Old clone, completely wrong zone). This has been compounded by communications unit using laptop programming to lock KNG and DPH radios from making changes to priorities or making changes to the cloned groups frequency’s or naming conventions. Some units still have the ability to create a new master group others were completely locked out of thier radio.<br/> Due to steep and challenging terrain and resources spread over many miles, command is sometimes needed to maintain communications with supervisor, resources and adjacent resources.  Due to Primary being locked on command, resources would not hear radio communications on Tac X the preferred Primary channel. <br/>2) Due to COVID many briefings (morning/night shift, OPS/204 updates) are being completed through radio communications to base camps and spike camps., Command Radio channels are locked up with communication for unreasonable amounts of time (one plus hours for briefings and up to 15mins for OPS/204 Updates with minimal or no radio breaks)  Often during high risk times during operational periods I.E Transition times between day and night shifts when driving is occurring or resources are departing the line and around 1400/1600 (take 10 at ?) This has been occurring on every assignment I have engaged on this season. <br/><br/>The resulting issues complicated a Red medical “incident within and incident” by taking nearly 5-15min (according to resources on scene)  to clear the command channel to start the IwI process.","Issue was brought up to Communications Unit, Division Supervisors and Safety Officers.<br/>1) Mitigation’s implemented were done at the ground level.<br/>- If a resource had 2 radios one radio remained on the preferred Primary Channel and the other scanned other channels. <br/>-Resources opted to avoided Communications Unit clones and for hand programming radios.<br/>-Modules made all attempts to remain in voice communication and use of human repeaters was implemented. <br/>Modules could get radio settings reset at end of assignment upon demon.<br/><br/>2) Team attempted unsuccessfully to implement inefficient radio breaks every 4 minutes. Breaks were less than 2 seconds on a linked command radio system; its recommended keying radio for 1-2 seconds before talking. OPS/204 updates continued as they always have even though cellphone reception for phone calls is mostly available in all Divisions.","10/16/2020 14:28"
"44667","20200929-0001","2","09/27/2020 06:00"," ","Badger","NK7A","ID","USFS","","FF1","Hygene","2","Shower","Wildland;","Support;","Other;","Other;","Leadership;","Potable water","Days after water sample was taken, water was reported bad and hot food, cubies and showers stopped.<br/>The military has water test units that give immediate results.","Didn't eat hot food and disposed hundreds of gallons of water in cubies then waited for water sample results.  System and procedures are flawed and expose people to unnecessary risks.  I hear Firefighters are the highest priority, but actions are contrary.","10/01/2020 09:35"
"44687","20200927-0001","2","09/26/2020 13:00","09/26/2020 15:00","Cameron Peak","P2NE4T","CO","USFS","Arapaho Roosevelt National Forest","TFLD","","2","","Wildland;","Line;","Extended Attack;","Fire Behavior;","Decision Making;Situational Awareness;","","I was assigned a lookout position on a Structure Group Div. My job was to relay fire conditions so engine crews could start Mark 3 pumps at various structures. Appox. 1200 smoke began to settle and had limited visibility. I then made the decision to move further west by one ridge to gain better SA for the engine crews. After moving to second ridge fire and wind activity increased dramatically and I was forced to move into a safety zone on the east side of the Lake until the active flame front passed. Once I was in position I ensured I would be able to ride out the the weather event. I spoke with resources on the radio about possible escape routes to my truck. Resources stated I was completely surrounded and would need stay in my current location. After approx. 1 hour Branch was able to gain access to the day use area and pick me up. Once I was back at my truck I tied in with DIVS and got assigned to go back on the line. During this incident I felt extremely safe and had great communications. All supervisor were aware of my location and were aware that I was in an extremely safe location. End Report","Discussion was had about maintaining Situational Awareness","10/05/2020 11:17"
"44628","20200919-0001","5","09/19/2020 19:00"," ","Thielsen Fire","","OR","USFS","","Firefighter","Line construction ","2","Crew","Wildland;","Line;","Extended Attack;","Environmental;","","","We were told by our division to leave the line early to take showers, as it’s been over a week with no showers, limited hygiene resources and rainy days. All of which contribute to sickness. When arriving at the shower units they insisted on us all using the showers without cleaning them in between which is a huge factor contributing to sickness. This led us to having to drive to a gas station and pay for our own showers. The lack of hygiene during these overly emphasized times of social distancing and personal hygiene was disappointing.","We let half of our crew stay behind to use those showers since the number of available cleaned showers equaled half of our personnel and the other half went to the pilot gas station and paid for our showers. Our hands were forced as we wish to prevent sickness and spread of sickness and it cost us our time and money to make things right.","09/28/2020 12:06"
