Query,Model Type,sBERT model,Result #,Score,Lesson ID,Title,LLIS-Designated Topics,Phase,LLIS Text
cyber security measures for data and systems,cosine,msmarco-roberta-base-v3,1,0.425960898399353,1250,Network Security/Reduction of Vulnerabilities/Penetration Exercises,,Not Specified,"The terrorist attacks on September 11 emphasized the need for increased security of all national assets including NASA's computer systems. Since many of these systems safeguard the lives of astronauts and cosmonauts and the safety of valuable international assets, it is crucial that security vulnerabilities be fully understood and closely managed.Accelerate the schedule of penetration exercises to gain greater insights into computer security vulnerabilities; determine if further threat analysis should be conducted; review all vulnerabilities; and ensure that plans are adequately formulated to mitigate these vulnerabilities and that work is proceeding to prevent critical systems from being compromised. Accelerate the schedule for the implementation of triple Data Encryption System (DES).Terrorist attacks of 9/11 have reinforced the need to protect NASA network and communications resources from intrusion.The Agency and Center IT security program is a risk-based management and acceptance process. The program continues to evolve to incorporate and facilitate tools and metrics for greater insight into security vulnerabilities. Currently the Centers perform quarterly vulnerability scans and metrics that are reported to the Agency. The vulnerabilities found are reviewed and worked through a defined process. Mission Critical systems external interfaces such as those of the JSC Mission Control Center with the JSC Institutional Network are included in these quarterly assessments. We will continue to work to improve this process and capability as new technologies and tools become available. The change to incorporate the triple DES has been negotiated with the contractor; a probabilistic risk assessment associated with losing S-band communications is being conducted prior to Program implementation."
cyber security measures for data and systems,cosine,msmarco-roberta-base-v3,2,0.39308035373687744,1149,Agency-Wide/Computer Hardware-Software/Computer Security,,Not Specified,"NASA has initiated an agency-wide program to deal with general computer security. Significant parts of NASA's initial plan depend upon the voluntary compliance of system users including contractors.Expand the agency-wide security system development work to include less dependence on human compliance with the system. NASA should also require contractors to participate in its security efforts.Implementation of NASA Agency-Wide Computer Security PlanNASA concurs with both parts of the recommendation. Regarding less dependence on human compliance, all NASA Centers have installed software and hardware tools that automatically scan for hostile code, system vulnerabilities, and hostile intrusions. These tools are not perfect; they require human oversight. However, they do reduce the amount of manual labor and the amount of human discretion involved in finding and dealing with attacks. NASA is exploring with vendors the possibility of applying artificial intelligence techniques to identify patterns in intrusion detection data that may not be obvious. This field has not yet matured to the point that products or services are available, but we are hopeful that, in a year or two, prototype products may be available for evaluation. These products would reduce the amount of manual analysis required to identify attacks, and they would make it easier to correlate data from different Centers. We also use audits and metric reports to verify that human compliance has been adequate. For example, this year we will engage a third party to perform a technical audit of IT security provisions at three NASA Centers. Metric reports on security plans, training, and system vulnerabilities help us to track performance, thereby reducing discretion in compliance with NASA policy. However, IT security evolves rapidly. New threats must be countered manually until they are well enough understood for defense to be automated. Thus, we expect to rely on human intellect and energy to identify and deal with novel developments. Regarding requiring contractors to participate in its security efforts, we issued for comments, in January, a draft regulation to be included in the NASA supplement to the Federal Acquisition Regulations. This regulation would require NASA contractors, who operate computers or network systems on behalf of NASA, to adhere to appropriate provisions of NASA policies and procedures for information technology security. Comments on this draft have been dispositioned, and we expect the final regulation to be issued shortly. Also we are including contractors, such as the Consolidated Space Operations Contract, the Outsourcing Desktop Initiative for NASA, and the USA vendors, in various fora that coordinate IT security across systems operated on behalf of NASA. Although this effort is recent, we are seeing good cooperation. We expect integration of contractors to help maintain a seamless NASA IT security posture."
cyber security measures for data and systems,cosine,msmarco-roberta-base-v3,3,0.3929363489151001,1150,Agency-Wide/Computer Hardware-Software/Computer Security,,Not Specified,"Further analysis of NASA's planned agency-wide computer security system is needed to understand its vulnerabilities and the programs and activities to which the system should be applicable.Conduct a thorough analysis, together with the National Security Agency, to determine the level of computer security required by the Agency, the level of security that can be expected from the system and its most serious vulnerabilities. Also require all major mission or safety critical programs to have a qualified third party conduct a computer vulnerability analysis of their designs as soon as possible.Agency-Wide Computer System VulnerabilitiesNASA concurs in principle with both parts of this recommendation. Regarding analysis with the National Security Agency (NSA), we conducted a thorough internal study in 1998 to determine the level of required computer security, and GAO audited our computer security the same year. In addition, we are using a combination of internal audits/tests and third-party audits/tests to determine our security at a technical level. Our metrics also provides ongoing information about the adequacy of our computer security. Finally, the NASA Inspector General has made computer security a high priority for audits and inspections. Thus, we are not sure that adding another layer of analysis by the NSA will add commensurate value. Every analysis or audit disturbs ongoing work, and, at some point, additional analyses can actually degrade security because they have negative marginal value. We will discuss with the NSA what services that they could provide, to establish whether contracting with them would add significant value above what is already underway. Regarding major mission systems, we believe that there is merit in the recommendation but wish to consult with owners of such systems before levying this requirement. We require that managers of all ""special management attention"" systems complete IT security plans and provide written authorization to operate those systems this fiscal year. We expect that all major mission or safety critical systems are included among the special management attention systems. Thus, these activities will provide a documented baseline for discussion regarding the value of third-party analyses."
cyber security measures for data and systems,cosine,msmarco-roberta-base-v3,4,0.391751229763031,1175,Computer Hardware-Software/System Security/Personnel Awareness and Training,,Not Specified,"NASA has initiated a well-founded, broadly encompassing computer security program to ensure that its computer systems are protected from hostile attacks, but development of security plans for all systems is lagging. Also, the function of Computer Security Officer has typically been added to the responsibilities of systems administrators.16a. Complete and maintain security plans for all appropriate computer systems and ensure that the computer security program is sustaining. 16b. Ensure that computer systems administrators are properly trained in computer security.Delays in Drafting and Implementing Computer System Security Plans and Training Especially for System Administrators16a. Code AO - Concur: We concur with the ASAP recommendation. Progress since the ASAP review consistent with the recommendation is shown below: Current Status of Computer Security Plans and Sustainability of Computer Security Program Status of Computer Security Plans: As of the second quarter of FY 2001, computer security plans for 100 percent of SMA (Special Management Attention) Systems have been completed, including authorization to operate; 97 percent of SMA Systems have all protective measures completed as stipulated in their plans; three systems have completed interim measures that give adequate security. SMA Systems are NASA's most critical systems. Sustainability of Computer Security Program: In FY 1999, NASA spent $28 million on IT security programs and measures. That amount has more than tripled in FY 2000 as NASA introduced an aggressive, Agency-wide program that stressed closer monitoring, improved reporting, expanded training, and better technology. The FY 2000 budget of $91 million targeted the Space Flight and Earth Science Enterprises for particular emphasis, with those two business units receiving 80 percent of the ITS budget. Future Computer Security Plans for Computer Systems and Plans for Ensuring Sustainability of the Computer Security Program Future Computer Security Plans for Special Management Attention (SMA) Systems: SMA Systems: By September 30, 2001 - remaining 2.4 percent of systems have completed protective measures stipulated in their plans; Mission (MSN) & Business & Restricted Technology (BRT) Systems: By June 1, 2001 - 100 percent have IT security responsibility assigned; By October 1, 2001 - 100 percent have signed IT Security Plans authorizing processing. Sustainability of the Computer Security Program: The Agency will increase the ITS budget by over ten percent in FY 2001 to $101 million, primarily to improve monitoring, protect data, and enhance technology at all Centers. 16b. Code AO - Concur: We concur with the recommendation. Status of system administrator training is shown: Current Status of Computer Security Training for Systems Administrators As of the first quarter of FY 2001, 35.6% of system administrators have received basic awareness training and IT security training for UNIX or NT systems. This is below the target of 50%. Future Computer Security Training Plans for Systems Administrators System Administrators By October 1, 2001- 90 percent of all system administrators completed during FY 2001 either the FY 2000 or the FY 2001 ""ITS Overview"" training on SOLAR or equivalent training. By October 1, 2001- 80 percent of administrators of UNIX systems completed ""UNIX Security for System Administrators"" training on SOLAR or equivalent training.* By October 1, 2001 - 80 percent of administrators of NT systems completed ""NT Security for System Administrators"" on SOLAR or equivalent training. We believe that the ITS program has made significant progress in the past two fiscal years as indicated in our response."
cyber security measures for data and systems,cosine,msmarco-roberta-base-v3,5,0.3382807672023773,5099,Information Technology (IT) Security Requirements Levied On Federal Agencies Do Not Align With Systems  Engineering and Integration (SE&I) Requirements Management Processes,"Categories, Information Technology / Systems",Approval,"Federally mandated IT security requirements when implemented through the Constellation Program requirements process failed to capture scope and intent of higher level requirements.Placing a subset of NIST 800-53 controls into the SE&I requirements management process created the appearance that the NIST 800-53 controls not referenced were not applicable to system designers. The current SE&I requirements management structure is not structured to accommodate the requirement of system designers to address NIST 800-53 controls.Program specific requirements relating to IT security should be limited to the definition of interfaces between systems. Decisions regarding applicability and implementation of specific NIST 800-53 controls should be made at the lowest level possible so the intent of controls are met in the most cost efficient manner.The Constellation Program identified the need to tailor security controls for implementation in Orion/Ares flight communication systems. The resulting requirements, based on NIST 800-53 controls, were inserted in Program level requirements document and levied on system designers through the Constellation Architecture Requirements Document. This resulted in designers addressing only the allocated requirements rather than assessing the applicability of the entire standard."
cyber security measures for data and systems,cosine,msmarco-distilbert-base-v4,1,0.418724000453949,1175,Computer Hardware-Software/System Security/Personnel Awareness and Training,,Not Specified,"NASA has initiated a well-founded, broadly encompassing computer security program to ensure that its computer systems are protected from hostile attacks, but development of security plans for all systems is lagging. Also, the function of Computer Security Officer has typically been added to the responsibilities of systems administrators.16a. Complete and maintain security plans for all appropriate computer systems and ensure that the computer security program is sustaining. 16b. Ensure that computer systems administrators are properly trained in computer security.Delays in Drafting and Implementing Computer System Security Plans and Training Especially for System Administrators16a. Code AO - Concur: We concur with the ASAP recommendation. Progress since the ASAP review consistent with the recommendation is shown below: Current Status of Computer Security Plans and Sustainability of Computer Security Program Status of Computer Security Plans: As of the second quarter of FY 2001, computer security plans for 100 percent of SMA (Special Management Attention) Systems have been completed, including authorization to operate; 97 percent of SMA Systems have all protective measures completed as stipulated in their plans; three systems have completed interim measures that give adequate security. SMA Systems are NASA's most critical systems. Sustainability of Computer Security Program: In FY 1999, NASA spent $28 million on IT security programs and measures. That amount has more than tripled in FY 2000 as NASA introduced an aggressive, Agency-wide program that stressed closer monitoring, improved reporting, expanded training, and better technology. The FY 2000 budget of $91 million targeted the Space Flight and Earth Science Enterprises for particular emphasis, with those two business units receiving 80 percent of the ITS budget. Future Computer Security Plans for Computer Systems and Plans for Ensuring Sustainability of the Computer Security Program Future Computer Security Plans for Special Management Attention (SMA) Systems: SMA Systems: By September 30, 2001 - remaining 2.4 percent of systems have completed protective measures stipulated in their plans; Mission (MSN) & Business & Restricted Technology (BRT) Systems: By June 1, 2001 - 100 percent have IT security responsibility assigned; By October 1, 2001 - 100 percent have signed IT Security Plans authorizing processing. Sustainability of the Computer Security Program: The Agency will increase the ITS budget by over ten percent in FY 2001 to $101 million, primarily to improve monitoring, protect data, and enhance technology at all Centers. 16b. Code AO - Concur: We concur with the recommendation. Status of system administrator training is shown: Current Status of Computer Security Training for Systems Administrators As of the first quarter of FY 2001, 35.6% of system administrators have received basic awareness training and IT security training for UNIX or NT systems. This is below the target of 50%. Future Computer Security Training Plans for Systems Administrators System Administrators By October 1, 2001- 90 percent of all system administrators completed during FY 2001 either the FY 2000 or the FY 2001 ""ITS Overview"" training on SOLAR or equivalent training. By October 1, 2001- 80 percent of administrators of UNIX systems completed ""UNIX Security for System Administrators"" training on SOLAR or equivalent training.* By October 1, 2001 - 80 percent of administrators of NT systems completed ""NT Security for System Administrators"" on SOLAR or equivalent training. We believe that the ITS program has made significant progress in the past two fiscal years as indicated in our response."
cyber security measures for data and systems,cosine,msmarco-distilbert-base-v4,2,0.4085044860839844,1150,Agency-Wide/Computer Hardware-Software/Computer Security,,Not Specified,"Further analysis of NASA's planned agency-wide computer security system is needed to understand its vulnerabilities and the programs and activities to which the system should be applicable.Conduct a thorough analysis, together with the National Security Agency, to determine the level of computer security required by the Agency, the level of security that can be expected from the system and its most serious vulnerabilities. Also require all major mission or safety critical programs to have a qualified third party conduct a computer vulnerability analysis of their designs as soon as possible.Agency-Wide Computer System VulnerabilitiesNASA concurs in principle with both parts of this recommendation. Regarding analysis with the National Security Agency (NSA), we conducted a thorough internal study in 1998 to determine the level of required computer security, and GAO audited our computer security the same year. In addition, we are using a combination of internal audits/tests and third-party audits/tests to determine our security at a technical level. Our metrics also provides ongoing information about the adequacy of our computer security. Finally, the NASA Inspector General has made computer security a high priority for audits and inspections. Thus, we are not sure that adding another layer of analysis by the NSA will add commensurate value. Every analysis or audit disturbs ongoing work, and, at some point, additional analyses can actually degrade security because they have negative marginal value. We will discuss with the NSA what services that they could provide, to establish whether contracting with them would add significant value above what is already underway. Regarding major mission systems, we believe that there is merit in the recommendation but wish to consult with owners of such systems before levying this requirement. We require that managers of all ""special management attention"" systems complete IT security plans and provide written authorization to operate those systems this fiscal year. We expect that all major mission or safety critical systems are included among the special management attention systems. Thus, these activities will provide a documented baseline for discussion regarding the value of third-party analyses."
cyber security measures for data and systems,cosine,msmarco-distilbert-base-v4,3,0.40737631916999817,837,False Alarm Mitigation Techniques,,Not Specified,"The reliability of a system's BIT can be determined in part by the number of false alarms it experiences. If the BIT can not accurately identify and report the occurrence of failures then the test has failed its mission. Testability must be treated with the same level of importance as other design disciplines. BIT reliability must be considered just as critical as any other performance requirement. A system cannot perform its mission if its components are constantly being removed for false maintenance.Minimize the occurrence and effect of Built In Test (BIT) false alarms by applying principles and techniques that are intended to reduce the probability of false alarms and increase the reliability of BIT in avionics and other electronic equipment.This Lesson Learned is based on Maintainability Technique number DFE-2 from NASA Technical Memorandum 4628, Recommended Techniques for Effective Maintainability. Benefit: Effectively implementing Built-in-Test (BIT) techniques automatically reduces the number of BIT false alarms. Decreasing the number of BIT false alarms increases a system's availability and decreases the maintenance man-hours required. The overall result is a reduction of the system's life cycle cost. Implementation Method: To mitigate false alarms, a system's BIT circuitry must be able to cope with a limited amount of anomalous performance. NASA Handbook 5300.4 (1E) defines a false alarm as an indicated fault where no fault exists. Based on this definition, this technique is concerned only with BIT indications of system malfunction which cause unnecessary maintenance actions. The inability of a system to detect or report the occurrence of a failure, a fails to alarm condition, is not a false alarm and is not addressed. BIT should be designed to distinguish between actual failures and anomalies which must be tolerated due to adverse operating conditions or that are normal anomalies within acceptable limits. To accomplish this, the following principles and techniques must be mandated in the system specifications, requirement documents, and design policies and implemented in the system design. Voting Scheme One technique is called the Voting Scheme. With the voting scheme, all test data are analyzed by three or more different computers. A failure is declared only when a majority of the computers detect the same failure. An example of this type of architecture is the Space Shuttle Orbiter Avionics System. The five General Purpose Computers (GPCs) are all interconnected to the same 28 serial data channels. The GPCs perform all system-level processing and require a majority agreement on all test signals. This technique requires an extensive use of resources but is extremely effective at mitigating false alarms. A less complicated version of this is the use of double or triple redundant monitors. Having two or more sensors in series increases the reliability of the test data reported while only requiring a single computer or processor. Continuous Monitoring Continuous monitoring with BIT filtering can be used in place of the voting scheme. With this technique, BIT results are based on a integration of successive measurements of a signal over a period of time instead of a single check of the signal. The monitoring of the signal does not have to be continuous but only sampled over the time period. The filtering involves comparing the current reading of a signal with past and future readings of the same signal. This filtering allows for the disregarding of sporadic out-of-limit measurements. Only when a signal is out-of-limits for a predefined time limit or a sequence of tests identify the same failure, should the BIT flag be set. To maximize the effectiveness of continuous monitoring, the BIT data must be recorded. Once recorded, the data need to be summarized and evaluated so that trends can be tracked and weaknesses identified. Controls should be implemented to help manage all of this data. The number of signals monitored and the maximum sample rate can be limited. The time span over which data are collected should be set at a reasonable period, and the type of data accumulated should be restricted. Finally, computing techniques can be used that do not require the storage of old data. Once the information is gathered, a failure log should be created. This failure log is the basis for future modifications to the system's BIT. To improve the BIT, every instant of anomalous performance not related to an identified failure mode should be analyzed and the root causes identified. Some form of corrective action must be taken to avoid recurrence. If a design change cannot be made, then the BIT must be modified to accommodate the non-failure causing anomaly. The need for modification requires BIT to be flexible. Test parameters and limits must be easily changed. The operator should be able to control or even change the test sequence. This flexibility allows the necessary changes in the BIT to be made if false alarms start occurring. For example, the Space Station's Command and Data Handling System uses programmable Deadman Timers in the multiplexer/demultiplexer (MDM's) and standard data processor (SDP's). The response intervals of the timers can be adjusted by the system controller to accommodate changes in system configuration or mode of operation. However, the BIT software must be changed without disturbing the system operation. For this to be possible, the BIT software must be independent of the operating software. Decentralized Architecture Another technique for mitigating false alarms is the use of a distributed or decentralized BIT architecture. With this approach the BIT is implemented so that a NO GO on a given test directly isolates the implied failure to a replaceable unit. Locating most of the BIT internal to a unit greatly reduces the possibility of incorrect isolation of a failure. Although the decentralized BIT concept consists primarily of unit level tests, some system level testing is still required. An excellent technology for combining unit level testing with system level testing is boundary scan. Boundary scan is the application of a partitioning scan ring at the boundary of integrated circuit (IC) designs to provide controllability and observability access via scan operations. In Figure 1, an IC is shown with an application logic section, related input and output, and a boundary scan path consisting of a series of boundary scan cells (BSC), one BSC per IC function pin. The BSCs are interconnected to form a scan path between the host IC's Test Data Input (TDI) pin and Test Data Output (TDO) pin, for serial access. [D] Figure 1. Integrated Circuit with Boundary Scan Paths During normal IC operation, input and output signals pass freely through each BSC, from the Normal Data Input (NDI) to the Normal Data Output (NDO). However, when the boundary test mode is entered, the IC's boundary is partitioned in such a way that test stimulus can be shifted in and applied from each BSC output (NDO). The test response can then be captured at each BSC input (NDI) and shifted out for inspection. Internal testing of the application logic is accomplished by applying test stimulus from the input BSCs and capturing test response at the output BSCs. External testing of wiring interconnects and neighboring ICs on a board assembly is accomplished by applying test stimulus from the output BSCs and capturing test response at the input BSCs. This application of a scan path at the boundary of IC designs provides an embedded testing capability that can overcome test access problems. The unit level tests can also be combined for a subsystem or system level verification (Figure 2). More details on applying these techniques are in IEEE Standards 1149.1 Boundary Scan and 1149.5 System and Maintenance Bus. [D] Figure 2: Typical Test Regimen for Space Systems Finally, high-reliability components should be used in the design. The reliability of the BIT hardware should at least equal or exceed that of the hardware it is testing. The BIT software also needs to be thoroughly tested and verified to ensure that it will not be a source of false alarms. Accordingly, adequate amounts of effort and resources must be allocated during the design phase. The designer should not be unduly limited by memory size, component count, or any other allocated resource. These guidelines are not all inclusive. The false alarm problem is very complex. Each system is unique and must be approached differently. The best approach is simply to eliminate each factor as it is identified. References: Coppola, Anthony, A Design Guide for Built-In-Test (BIT), RADC-TR-78-224, April 1979. Malcolm, John G., Highland, Richard W., Analysis of Built-In-Test False Alarm Conditions, RADC-TR-81-220, August 1981. NASA Handbook 5300.4 (1E), Maintainability Program Requirements for Space Systems, March 10, 1987. Texas Instruments Inc., TESTABILITY, Test and Emulation Primer, 1989.This practice has been used on International Space Station Program and the National Space Transportation System."
cyber security measures for data and systems,cosine,msmarco-distilbert-base-v4,4,0.39307427406311035,1133,Computer Hardware-Software/International Space Station/Uplink Encryption,,Not Specified,"The recent compromising of the Data Encryption Standard (DES) suggests that the ISS command uplink may not be sufficiently protected.NASA should engage the National Security Agency to conduct a thorough evaluation of the level of protection provided by the current system and proceed as rapidly as feasible with its plans for a more secure encryption system for the ISS. Potential vulnerabilities of the ground elements of the system should also be assessed.Compromising of the current Data Encryption Standard (DES)NASA concurs with the recommendation. The ISS Program Office has been working with the NASA HQ Security Office, the NSA and NIST to define an acceptable replacement for DES. The newly selected encryption standard for ISS is Triple-DES, as approved at the Avionics Software Control Panel on March 17, 1999.The target date to begin implementation is assembly flight 9A with completion at 13A."
cyber security measures for data and systems,cosine,msmarco-distilbert-base-v4,5,0.38235366344451904,1250,Network Security/Reduction of Vulnerabilities/Penetration Exercises,,Not Specified,"The terrorist attacks on September 11 emphasized the need for increased security of all national assets including NASA's computer systems. Since many of these systems safeguard the lives of astronauts and cosmonauts and the safety of valuable international assets, it is crucial that security vulnerabilities be fully understood and closely managed.Accelerate the schedule of penetration exercises to gain greater insights into computer security vulnerabilities; determine if further threat analysis should be conducted; review all vulnerabilities; and ensure that plans are adequately formulated to mitigate these vulnerabilities and that work is proceeding to prevent critical systems from being compromised. Accelerate the schedule for the implementation of triple Data Encryption System (DES).Terrorist attacks of 9/11 have reinforced the need to protect NASA network and communications resources from intrusion.The Agency and Center IT security program is a risk-based management and acceptance process. The program continues to evolve to incorporate and facilitate tools and metrics for greater insight into security vulnerabilities. Currently the Centers perform quarterly vulnerability scans and metrics that are reported to the Agency. The vulnerabilities found are reviewed and worked through a defined process. Mission Critical systems external interfaces such as those of the JSC Mission Control Center with the JSC Institutional Network are included in these quarterly assessments. We will continue to work to improve this process and capability as new technologies and tools become available. The change to incorporate the triple DES has been negotiated with the contractor; a probabilistic risk assessment associated with losing S-band communications is being conducted prior to Program implementation."
