ID,Title,Requirement,Rationale
HLS-S-R-0321,Space System Cyber Security,"The HLS shall secure all data and systems including traditional IT, operational technology, and specialized space systems. These cyber measures not only include systems internal to the HLS but also apply to interconnection interfaces with other space assets (Orion, Gateway, etc.)","Per the recent release of Space Policy Directive-5, NASA-STD-1006 Space System Protection Standard, and the cyber requirements levied by the contractual requirements included by the NASA FAR Supplement 1852.204-76. NASA is not alone in the lunar regime, including some adversaries who might be interested in interfering with the operations of NASA assets."
HLS-S-R-0004,Failure Tolerance to Catastrophic Events,"The HLS shall provide at least single failure tolerance for the control of catastrophic
hazards, with the specific level of failure tolerance (one or more) and implementation
(the use of similar or dissimilar redundancy) derived from an analysis of hazards, failure
modes, and risk associated with the system.
Failure tolerance capability is without the use of: aborts; emergency equipment and
systems; or corrective maintenance.
Note: Additional details are provided in HEOMD-003, Crewed Deep Space Systems
Certification Requirements and Standards for NASA Missions section 5.2.2.
Exemption A: Failure of primary structure, structural failure of pressure vessel walls, and
structural failure of pressurized lines are exempted from the failure tolerance
requirement provided the potentially catastrophic failures are controlled through a
defined process in which approved standards and margins are implemented that
account for the absence of failure tolerance.
Exemption B: Other potentially catastrophic hazards that cannot be controlled using
failure tolerance are exempted from the failure tolerance requirements with mandatory
concurrence from the HLS Program Manager, Director JSC (for crew risk acceptance),
and the HLS Program Technical Authorities provided the hazards are controlled through
a defined process in which approved standards and margins are implemented that
account for the absence of failure tolerance. For selected cases where use of a
reliability-informed approach is required, as agreed by the HLS Program Manager, Director JSC, and HLS Program Technical Authorities, the reliability requirements shall
be verified with appropriate confidence intervals using robust reliability approach that is
substantially anchored in actual test data verifying margins to environments (natural and
induced), life requirements, operational boundaries, and failure modes.","The overall objective is to provide the safest design that can accomplish
the mission, given the constraints imposed on the Program. Since a HLS development
will always have mass, volume, schedule, and cost constraints, choosing where and
how to apply failure tolerance requires integrated analyses at the system level to
assess safety and mission risks.
First and foremost, when failure tolerance is practical, the failure tolerance is applied
at the overall system level - to include all capabilities of the system. While failure
tolerance is a term frequently used to describe minimum acceptable redundancy, it
may also be used to describe two similar systems, dissimilar systems, dissimilar down
mode, cross-strapping, or functional interrelationships that ensure minimally
acceptable system performance despite failures, or additional features that completely
mitigate the effects of failures. Even when assessing failure tolerance at the integrated
system level, the increased complexity and the additional utilization of system
resources (e.g. mass, power) required by a failure tolerant design may negatively
impact overall system safety as the level of failure tolerance is increased.
Ultimately, the level and type of redundancy (similar or dissimilar) is an important and
often controversial aspect of system design. Since redundancy does not, by itself,
make a system safe, it is the responsibility of the engineering and safety teams to
determine the design that optimizes safety given the mission requirements and
constraints. In such a design, both the risk from individual contributors (e.g., hazards
or failure modes) and the total risk for the reference mission are below acceptable
levels."
HLS-S-R-0110,Fault Isolation and Control,"The HLS shall provide the capability to isolate and recover from faults identified during
system development or mission operations that would result in a catastrophic event","To meet agency human rating requirements for space vehicles, the HLS
must provide the capability isolate and control identified faults."
HLS-S-R-0027,HLS Reliability,"Each reference missions shall have the following minimum per mission reliability from
Crew Staging Vehicle (CSV) separation to CSV return. ","The HLS must maintain a minimum reliability for each follow on mission,
which may increase mission objectives (such as longer duration) that will require a
robust hardware reliability improvement task. The scope of the requirement includes
the HLS hardware reliability associated with must work and must not work functions
for the life of the program. In addition, HLS allocated hardware reliability supports HLS
compliance with program-level Loss of Crew and Loss of Mission requirements. Also,
software was explicitly excluded because there is not a standard methodology for
performing software reliability. In addition, hardware reliability does not consider
damage due to MMOD environment or human actions associated with its operation.
Defined mission environment includes loads, thermal, radiation etc. HLS hardware
reliability includes HLS hardware required to support performance of the EVAs
required per mission (e.g. Airlock cycles) but does not include the reliability associated
with the EVA suit which is not considered HLS hardware. Hardware reliability does not
consider fire or medical risk."
HLS-S-R-0307,HLS Operation Mass Delivery from Earth,"The HLS shall deliver 1,132 kg of GFP from Earth surface to NRHO for the Orion Direct
Sortie, 867 kg (threshold) and 1,768 kg (goal) of GFP from Earth surface to NRHO for
two-crew sortie missions, and 1,524 kg (threshold) and 2,576 kg (goal) from Earth
surface to NRHO for four-crew extended missions.","This requirement provides robustness to the HLS in the event that Gateway
will not be able to provide supplies to HLS. The masses defined within this requirement
are based on two crew and GFP for sortie missions and four crew and GFP for
Extended missions and establish minimum operational capabilities for surface
operations. Operational uses of the delivered mass will be determined during mission
planning. Masses assume a specific delivery implementation for EVA and launch and
entry suits for the missions. Mass also includes consumables Orion needs during the
lunar surface mission. Other implementations are possible, which may change the
required delivery mass."
HLS-S-R-0308,Utilization Cargo Delivery from Earth,"Utilization Cargo Delivery from Earth [DRM-001, DRM-003, DRM-ODS]
The HLS shall be capable of delivering from Earth surface to NRHO utilization cargo of
150 kg (TBR) and 1.59 m^3 (TBR) volume (threshold) and 1000 kg (TBR) and 7.09 m^3
(TBR) volume (goal), inclusive of tare, in accordance with the parameters that are
notionally specified in","Specified mass does not include operations mass return. Sustaining HLS
missions are expected to deliver utilization equipment and tools to accomplish
objectives. They are also desired to have a freezer in order to return lunar volatiles
and biological/human health samples. The intent of this table is to provide
requirements for pressurized and unpressurized volumes and mass allocations for
initial proposal and design purposes. The listed hardware is notional, generally
reflecting high level NASA desires. Specific hardware to fill mass/volume allocations
will be determined later by NASA on a mission-specific basis."
HLS-S-R-0309,Utilization Cargo Delivery from Earth,"The HLS shall be capable of delivering from Earth surface to NRHO utilization cargo of
50 kg (TBR) and 1.43 m^3 (TBR) volume (threshold) and 1000 kg (TBR) and 7.09 m^3
(TBR) volume (goal), inclusive of tare, in accordance with the parameters that are
notionally specified in","Specified mass does not include operations mass return. Sustaining HLS
missions are expected to deliver utilization equipment and tools to accomplish
objectives. They are also desired to have a freezer in order to return lunar volatiles
and biological/human health samples. The intent of this table is to provide
requirements for pressurized and unpressurized volumes and mass allocations for
initial proposal and design purposes. The listed hardware is notional, generally
reflecting high level NASA desires. Specific hardware to fill mass/volume allocations
will be determined later by NASA on a mission-specific basis. Reduced down mass
threshold for 4 crew missions assumes that additional tools/utilization hardware are
pre-deployed on other surface assets."
HLS-S-R-0322,Quiescent Lunar Orbit Operations,"The HLS shall be capable of maintaining quiescent operations for no less than 60 days
(threshold) and 90 days (goal) at Near Rectilinear Halo Orbit (NRHO).","For the specified DRMS, the Crew will not launch until Lunar Orbit Checkout
Review (LOCR). The HLS may need to remain in NRHO for 90 days after the HLS is
confirmed operational, to await crew and cargo delivery, including potential launch
scrubs and mission delays."
HLS-S-R-0304,HLS Automated RPODU,"The HLS shall be capable of automated rendezvous, proximity operations, docking and
undocking with both Gateway and Orion.","The HLS will need Rendezvous, Proximity Operations, Docking and
Undocking (RPODU) capability to transfer crew and cargo to and from HLS.
The HLS must provide compatible docking mechanism to both Gateway and Orion as
well as a full automated RPODU functionality to dock with both. The HLS must have the
contingency capability to dock with Orion on a Gateway mission."
HLS-S-R-0061,Automated Missions,"The HLS shall be capable of conducting an automated landing on the lunar surface and
return to NRHO.","Automated landing and return is required to reduce crew workload during
critical operations."
HLS-S-R-0109,Remote Operation of the HLS,"The HLS shall provide the capability for the surface crew, orbiting crew, and Mission
Systems, to monitor, operate, and control the HLS elements and subsystems remotely,
when
a) The remote capability is necessary to execute the mission; or
b) The remote capability would prevent a catastrophic event; or
c) The remote capability would prevent an abort.","To meet agency human rating requirements for space vehicles, the HLS
must provide the specific capability."
HLS-S-R-0325,Remote operation of uncrewed spacecraft by the HLS,"The HLS shall provide the capability for the crew to monitor, operate, and control an uncrewed
spacecraft during proximity operations, where:
a) The capability is necessary to execute the mission; or
b) The capability would prevent a catastrophic event; or
c) The capability would prevent an abort.
Note 1: Proximity operations cover several scenarios, but this term is specifically
defined as two (or more) systems operating in space (not on a planetary surface) within
the prescribed safe zone for either system
Note 2: When an uncrewed space system is the active spacecraft performing proximity
operations with a crewed spacecraft, this requirement includes the capability for the
crew to monitor the trajectory of the uncrewed system. At a minimum, the crewed
system will have the capability to send basic trajectory commands to hold/stop,
continue, and breakout to the uncrewed spacecraft. Active means the spacecraft is
changing the flight trajectory and orbital parameters to effect the desired result during
proximity operations.","To meet agency human rating requirements for space vehicles, the HLS
must provide the specific capability"
HLS-S-R-0324,HLS Habitation Capability,"The HLS shall provide a habitable environment for two (2) to four (4) crew for at least
eight (8) (TBR) Earth days.","The HLS must be able to provide habitability for the specified duration,
whether the crew complement is two or four."
