,REPDATE,EVENT_ID,ENAME,ITYPE,DPRIORITY,ACTIVE,ACRES,PERSONNEL,LOCATE,EDAMAGE,ECOSTS,F_CONTAIN,CDATE,LATDEG,LATMIN,LONGDEG,LONGMIN,TEAMTYPE,TEAMNAME,GPRIORITY,CAUSE,STARTDATE,NEWACRES,NARRATIVE,UN_UNITID,UN_USTATE,SEQ_NUM,CY,HOUR,START_YEAR,FIRE_EVENT_ID,POO_LATITUDE,POO_LONGITUDE,AREA_MEASUREMENT,IMT_MGMT_ORG_DESC,INCTYP_IDENTIFIER,POO_STATE_NAME,INCIDENT_ID,COMPLEX_NAME,INCIDENT_NAME_CORRECTED,INCIDENT_NUMBER_CORRECTED,DISCOVERY_DATE_CORRECTED
215,1999-04-29,MN-MNS-,JUNEBERRY,WF,,N,1500.0,4.0,Roseau,,,100.0,4/29/99,0.0,0.0,0.0,0.0,,,,H,1999-04-28,0,wildfire,MNS,MN,1,1999,0.0,1999.0,MN-MNS-|1999|1,0.0,-0.0,Acres,,9851,MINNESOTA,,,,,
255,1999-05-04,MN-MNS-,ANDOVER FIRE,WF,,N,1200.0,92.0,Andover,,,90.0,05/04/99,0.0,0.0,0.0,0.0,,,,H,1999-05-03,0,good suppression!,MNS,MN,2,1999,0.0,1999.0,MN-MNS-|1999|2,0.0,-0.0,Acres,,9851,MINNESOTA,,,,,
268,1999-05-05,MN-MNS-,ANDOVER FIRE,WF,,N,636.0,92.0,Andover,160000.0,150000.0,100.0,05/05/99,0.0,2.0,31.0,24.0,2,Dave Sterr,,H,1999-05-03,0,good suppression!,MNS,MN,2,1999,0.0,1999.0,MN-MNS-|1999|2,0.03333333333333333,-31.4,Acres,Type 2 Team,9851,MINNESOTA,,,,,
1133,1999-07-12,NV-NNS-488,SOAP,WF,,N,715.0,70.0,Carlin Nev 11 miles north,,,100.0,7-12-99,40.0,48.0,116.0,14.0,3,Tom Bingaman,,H,1999-07-11,0,contained today at 1300 with dozers.,NNS,NV,1,1999,0.0,1999.0,NV-NNS-488|1999|1,40.8,-116.23333333333333,Acres,Type 3 Team,9851,NEVADA,,,,,
1145,1999-07-12,WA-SWS-RAZ,DOUBLE RUN FIRE,WF,,N,,,,,,,,0.0,0.0,0.0,0.0,,,,H,1999-07-12,0,nan,SWS,WA,1,1999,0.0,1999.0,WA-SWS-RAZ|1999|1,0.0,-0.0,Acres,,9851,WASHINGTON,,,,,
1516,1999-08-05,NV-BWD-0119,IZZENHOOD,WF,,N,10000.0,,,,,0.0,,40.0,52.0,116.0,55.0,2,HEFNER,,L,1999-08-05,0,nan,BWD,NV,1,1999,0.0,1999.0,NV-BWD-0119|1999|1,40.86666666666667,-116.91666666666667,Acres,Type 2 Team,9851,NEVADA,,,,,
1523,1999-08-05,OR-BUD-2150,WILDER CREEK,WF,3,N,1500.0,,Denio Oregon,,,100.0,8/5/99,41.0,59.0,118.0,34.0,4,Danny Y,,L,1999-08-04,0,"lightning caused fire burning in grass & sage. limited moisture assisted in ia, 2 rural rfd's on site.",BUD,OR,1,1999,0.0,1999.0,OR-BUD-2150|1999|1,41.983333333333334,-118.56666666666666,Acres,Type 3 IC,9851,OREGON,,,,,
1595,1999-08-07,NV-WID-J530,LONE BUTTE,WF,,N,15000.0,0.0,15 air miles NE of Golconda,0.0,,100.0,,40.0,59.0,117.0,24.0,1,Richer,,L,1999-08-05,0,"the fire, one of the three fires in the corridor complex, has been contained and controlled.",WID,NV,1,1999,0.0,1999.0,NV-WID-J530|1999|1,40.983333333333334,-117.4,Acres,Type 1 Team,9851,NEVADA,,,,,
1603,1999-08-07,NV-WID-J527,CHIMNEY,WF,,N,35000.0,,45 Miles NE of Golconda,,,75.0,8/8/99,41.0,29.0,117.0,1.0,3,,,L,1999-08-06,0,this fire is the only active fire remaining within the corridor complex (refer to that narrative for more information).,WID,NV,1,1999,0.0,1999.0,NV-WID-J527|1999|1,41.483333333333334,-117.01666666666667,Acres,Type 3 Team,9851,NEVADA,,,,,
1606,1999-08-07,NV-CCD-J744,POCO,WF,,N,6000.0,63.0,IN THE JOBS PEAK WSA,,60000.0,100.0,,39.0,33.0,118.0,18.0,,,,L,1999-08-05,0,this fire is now being reported under the new pass complex.  bill williams type ii imt!,CCD,NV,1,1999,0.0,1999.0,NV-CCD-J744|1999|1,39.55,-118.3,Acres,,9851,NEVADA,,,,,
1625,1999-08-07,NV-CCD-J745,SHIRT TAIL,WF,,N,5000.0,,"15 miles NE of Fallon, NV",,,100.0,,39.0,33.0,118.0,16.0,,,,L,1999-08-05,0,fire now being reported under the new pass complex.,CCD,NV,1,1999,0.0,1999.0,NV-CCD-J745|1999|1,39.55,-118.26666666666667,Acres,,9851,NEVADA,,,,,
1626,1999-08-07,NV-CCD-1272,SHOSHONE,WF,,N,3000.0,,"50 miles east of Fallon, NV",,,0.0,,39.0,45.0,117.0,44.0,,,,L,1999-08-06,0,fire now being reported under the new pass complex.  bill williams type ii imt!,CCD,NV,1,1999,0.0,1999.0,NV-CCD-1272|1999|1,39.75,-117.73333333333333,Acres,,9851,NEVADA,,,,,
1666,1999-08-10,NY-NYS-001,CROW'S NEST,WF,,N,900.0,29.0,WEST POINT,,,60.0,,0.0,0.0,0.0,0.0,,,,H,,0,"burnout operations commenced on the crow's nest this afternoon, continuing from yesterday's efforts which were hampered by light rain.  military personnel are supporting the operations with patrol & limited mop-up.  air support is being provided by the usma, ny natl. guard, & ny rangers.  containment is estimated at 1500 hours on august 13th.",NYS,NY,1,1999,0.0,1999.0,NY-NYS-001|1999|1,0.0,-0.0,Acres,,9851,NEW YORK,,,,,
2108,1999-09-12,CA-LPF-865,KIRK COMPLEX,WF,5,N,2160.0,897.0,Carmel,,24000000.0,0.0,,0.0,0.0,0.0,0.0,,,,L,1999-09-08,0,"fire 1, 2, 3, 6, 7, 8, 9 and the kirk fire are contained and rehab has begun.  tassajara fire is 0% contained at 1000 acres.  a large helicopter ferrying operation has begun to place hand crews on the fire.  the fire has crossed tassajara creek, burned north into carmel river drainage and south toward south ventana cone.  the fire is also spreading toward church creek to the ne.  the five fire is 0% contained at 250 acres.  it has burned toward the helispot that was to be used for landing handcrews.  for the safety of crews, this operation was cancelled.  in addition to this run, the five fire is burning downhill into big sur drainage.  airtankers and heavy lift operators are being used to slow the spread of the fire, while helicopters are ferrying in handcrews.  handcrews and helicopters are the critical resources.  long range contingency is in process.  lack of safe access to both fires continues to restrict suppression efforts.  additional information in remarks section.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,,9851,CALIFORNIA,,,,,
2123,1999-09-29,CA-LPF-865,KIRK COMPLEX,WF,5,N,62635.0,2706.0,Carmel     Big Sur    King City,,34685726.0,34.0,,0.0,0.0,0.0,0.0,1,Hutchison/Gage,,L,1999-09-08,0,"north:some moderate spread was noted today on the north side of the fire. the current plan is to use the upper carmel river above the los padres reservoir as a control line on the north end.south:the fire continues to make strong runs with periods of high intensity burning due to continued high temperatures and low humidities. fire is moving on three flanks with the north and west flanks being critical. there are approximately 1200 homes threatened ahead of the fire with four areas of concern within the control lines. these areas are located between vicente creek and devils canyon with approximately 15 to 20 structures in imminent danger with the only available tactic being direct structure protection. additional areas of critical concern are the t&e species (steelhead trout & red legged frog. should the fire not be held along the west flank, hwy1 watershed would be seriously affected increasing potential for road closure due to slope erosion and possible total slope failure.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2372,1999-09-13,CA-LPF-865,KIRK COMPLEX,WF,5,N,1216.0,897.0,Carmel,,2400000.0,40.0,,0.0,0.0,0.0,0.0,1,Greenhoe,,L,1999-09-08,0,"controlled fires: freed#6-.1 acre, torre#8-.1 acre, devil #9-.1 acre.  contained fires: big pine#1-1 acre, elephant #2-1 acre, lone pine #3-1 acre, kirk #10-344 acres.  uncontained fires: tassajara #4-20%contained at 560 acres, fire #5-0%contained 307 acres.  a large helicopter operation has begun to place handcrews on the tassajara, which has crossed tassajara creek to the west, north into the carmel river drainage, south toward ventana cone.  fire overran the planned helispot forcing the cancellation of yesterday's control operations.  handcrews and helicopters are the critical resources needed to contain fires.  long range contingency planning is in process.  safe access to both fires continues to restrict suppression efforts.  additional resources are needed to successfully contain fires.  cultural, political, and community concerns will increasingly become an issue.  the base camp will be moved to greenfield.  helibase will be moved to james burr rd. and carmel valley rd.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2386,1999-09-14,CA-LPF-865,KIRK COMPLEX,WF,5,N,2475.0,1008.0,Carmel,,3000000.0,20.0,,0.0,0.0,0.0,0.0,1,Greenhoe,,L,1999-09-08,0,"a type i incident management team [greenhow]  arrived at the kirk complex @ 0800 on 9/14.  the tentative plan is for the type  ii [smith] currently on the complex will manage the hare/kirk fires [450 ac.], and the type i team will manage the tassajara/five fires [1,613 ac.].  both sets of fires remaining in the complex are expected to expand significantly during the next 24 hrs. due to inaccessible terrain in the ventana wilderness, active fire behavior, and warmer and drier weather conditions.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2393,1999-09-15,CA-LPF-865,KIRK COMPLEX,WF,5,N,2700.0,1574.0,Carmel,,15000000.0,10.0,,0.0,0.0,0.0,0.0,1,Greenhoe,,L,1999-09-08,0,"the kirk complex has been divided into two zones. a type i incident management team (greenhoe) has assumed command of kirk complex north.  the tassajara and five fires rapidly expanded under northwest winds and have nearly burned together.  the fires will burn together later today,  and significant future expansion of this fire is expected.  another holdover lightning fire (mountain) took off today well north of where the tassajara and five fire are burning together.  this fire is not 20-30 acres in size and 0% contained.  long range contingency planning and secondary line construction is now underway for dealing with this situation in the kirk complex north.  kirk complex south is being managed by a type ii incident management team (smith).  the hare fire did not expand as rapidly as the fires to the north and there is still some hope of containment during ht enext few days.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2407,1999-09-16,CA-LPF-865,KIRK COMPLEX,WF,5,N,2700.0,1574.0,Carmel,,15000000.0,10.0,,0.0,0.0,0.0,0.0,1,Greenhoe,,L,1999-09-08,0,"the kirk complex has been divided into two zones. a type i incident management team (greenhoe) has assumed command of kirk complex north.  the mountain and five/tassajara fires both burned actively last night.  extimated acres 11,400.  indirect line construction continues in anticipation of a large firing show projected to begin later this week.  the precautionalry evacuation of tassajara hot springs continues. kirk complex south smith - the hare fire experienced moderate  to significant runs diring the night.  indirect line has been completed on the east and west flanks of the fire, and nearly complete on the north flank  along come peak raod and trail.  burnout operation are currently underway in the most critical portion of the fire.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2440,1999-09-18,CA-LPF-865,KIRK COMPLEX,WF,5,N,23300.0,3123.0,Carmel,,14000000.0,10.0,,0.0,0.0,0.0,0.0,1,Greenhoe,,L,1999-09-08,0,"the kirk complex north - greenhoe - the five/tassajara fire continues to spread both to the northeast into miller canyon and south.   protection of tassajara hot springs continues. trigger points for possible evacuation have been established.  with increased threat of the fire spreading off the national forest dpa, unified command has been established with the cal. dept of forestry and fire protection, george haines ic.  a new fire(snake)located north of the mountain fire in the rattlesnake drainage, was held in check by aerial water drops.  south  - smith - firing along th west flank of the fire to hwy 1 near completion with lines holding at this time.  crews have also continued the holding action on the south side of the fire along nacimiento/fergusson rd.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2441,1999-09-17,CA-LPF-865,KIRK COMPLEX,WF,5,N,23330.0,1574.0,Carmel,,15000000.0,10.0,,0.0,0.0,0.0,0.0,1,Greenhoe,,L,1999-09-08,0,nan,LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2442,1999-09-19,CA-LPF-865,KIRK COMPLEX,WF,5,N,25200.0,3430.0,"Carmel, Big Sur, King City",,16100000.0,16.0,,0.0,0.0,0.0,0.0,1,Greenhoe/Smith,,L,1999-09-08,0,"the five/tassajara fire continues slowly spread both to the ne and s. indirect line construction continues.  a successful burnout along chews ridge to the northwest was conducted during the night.  along the coast, in lower elevations, the fire has layed down due to the deep marine layer, allowing crews to make good progress on the indirect line.  the mountain and snake fires are being monitored.  weather is expected to remain fairly static until about wednesday.the management teams from each half of the complex have decided that under the current burning conditions that the safest and most economical strategy is to proceed with a flanking action that will join the two incidents.  line construction and burnout preparation is proceeding towards this goal.  a coordinated firing plan is also being prepared for the north and south.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2472,1999-09-20,CA-LPF-865,KIRK COMPLEX,WF,5,N,28079.0,3521.0,Carmel     Big Sur    King City,,19700000.0,16.0,,0.0,0.0,0.0,0.0,1,Greenhoe       Smith,,L,1999-09-08,0,the five tassajara fire continues to slowly spread both to the northeast and south. indirect line construction continues.  crews making good progress.  the mountain and snake fires are being monitored.  firing operations have begun and progressing well.  mandatory and voluntary evacuation orders have been issued to areas along highway 1 due to increased structural threat.  line construction and firing preparations continued along the san antonio river and dolan ridge.  weather is expected to remain fairly static until wednesday.,LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2487,1999-09-21,CA-LPF-865,KIRK COMPLEX,WF,5,N,32023.0,3614.0,Carmel     Big Sur    King City,,23400000.0,16.0,,0.0,0.0,0.0,0.0,1,Greenhoe       Smith,,L,1999-09-08,0,"south: burning continued successfully eastward along nacimiento-fegersob rd.  it burned across limeliln drainage and ran uphill toward the conrol line and structures.  suppression activities were able to keep the fire within control lines. burning continued to the north of cone peak and aslo into the san antonio drainage.north: the tassajara fire continues to grow in a northeasterly and southeasterly direction.  burnouts are being made in areas of opportunity.  managers are considering three strategies. 1) fire paced indirect strategy, in which the spread of the fire sets the pace for the firing operation. 2) fast paced indirect line construction and burnout, burn out the fir line as quickly as possible, staffing the fire to deal with possible extreme fire behavior. appropriate suppression response. firing locations will be choosen based on an opportunityto complete containment without jeopardizing natural resources or firefighter safety.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2500,1999-09-22,CA-LPF-865,KIRK COMPLEX,WF,5,N,36728.0,3611.0,Carmel     Big Sur    King City,,37800000.0,20.0,,0.0,0.0,0.0,0.0,1,Greenhoe       Smith,,L,1999-09-08,0,"north:hurricane hilary's moisture came through the area of the tassajara fire last night, leaving trace amounts of rainfall, and slowing any fire spread.  the system isn't expected to leave the area until tomorrow., and should be followed by warm, dry weather, as high pressure returns. crews are taking opportunities to pinch the fire off in appropreiate areas. depending on the strategy selected tonight, demobilizationof resources should begin in the near future. south: moisture caused sporadic thunderstorms over the area through about 1300hrs today. the storms caused some rain in isolated areas but the increase in humidity only provided minimal slowing of the fire spread. the fire continues to spread north, east and west. the fire crossed control lines near structures hwy 1 and continues to move slowly in thier direction. the fire continued to burn easterly toward structures in the san antonio river drainage.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2511,1999-09-23,CA-LPF-865,KIRK COMPLEX,WF,5,N,37155.0,3516.0,Carmel     Big Sur    King City,,23050000.0,20.0,,0.0,0.0,0.0,0.0,1,Greenhoe       Smith,,L,1999-09-08,0,"north:this morning the final fwsa for the combined kirk north and south complex was signed. the selected strategy ""appropriate suppression response"" will result in a final fire size of approx 55,000 acres, with a commitment of 1085 personnel. significant reductions in personnel will occur, beginning asap. ir flights detected hot areas along the north, west, and south of the fire. indirect line construction is almost complete around the secondary perimeter of the north complex. note:unified command with cdf was terminated this morning.south:sub moisture moving through the area caused t-storms with rain over the area through about 0800 hrs. today.  the fire continues to burn toward structures on both the east and west flanks. resources are positioned for structure protection at buildings along the coast and in the interior.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2533,1999-09-24,CA-LPF-865,KIRK COMPLEX,WF,5,N,38040.0,3393.0,Carmel     Big Sur    King City,,25270000.0,20.0,,0.0,0.0,0.0,0.0,1,Greenhoe       Smith,,L,1999-09-08,0,"north:significantly dryer and warmer weather is being experienced over the fire today. a 1/4 acre spot fire was discovered today over the soutk fork of the big sur river. crews are now working this spot with air support. the incident will continue to staff down to a smaller size, as indirect line is now mostly complete. ir flights detected hot areas along the north, west, and south of the fire. indirect line construction is almost complete around the secondary perimeter of the north kirk complex. south:warmer and dryer conditions allowed for the cont. of the burning out operation easterly along nacimiento-fergusson rd. the fire continues to burn slowly to the north, east and west toward structures. protection plans have been developed and implemented for structures along hwy 1 on the west side of the fire and along milpitas rd. on the east. equipment remains deployed around structures in those areas. the fire has burned into portions of the linekiln state park on hwy 1.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2561,1999-09-25,CA-LPF-865,KIRK COMPLEX,WF,5,N,40900.0,3312.0,Carmel     Big Sur    King City,,27300000.0,20.0,,0.0,0.0,0.0,0.0,1,Greenhoe       Smith,,L,1999-09-08,0,"north: significatly dryer and warmer weather continued today. crews continued working to hold the fire in the south fork of the big sur river and north of willow creek. fire continued to expand slowly to the north.  additional hand and engine crews are arriving to replace cdf crews reaching their duty limit.  ir flights detected hot areas along the north, west, and south of the fire.  indirect line construction is complete around the secondary perimeter of the north kirk complex.south:  a type 1 incident management team (hutchinson), arrived today to begin the transition with the type ii team (smith).  the fire continued minimal burning along the west, north, and east flanks.  more intense burning occurred along nacimiento-fergusson rd., in the vicinity of the hunter-liggett military base.  the fire activity enhanced the burnout operation conducted yesterday helping to secure the southern fireline.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2580,1999-09-26,TN-CNF-019,GOFORTH CREEK,WF,,N,93.0,104.0,,,10000.0,50.0,09/27/99,35.0,5.0,84.0,31.0,3,Roby Phillipi,,H,1999-09-26,0,"goforth creek fire started from a burning vehicle in the ocoee river gorge. handcrews continued building line and mopping up. a hotshot crew member was transported by a medivac helicopter to a hospital in chattanooga tn. after being struck by a falling snag, the injurys are not serious and the individual is expected to recover. polk county sheriffs office is assisting with traffic control and tennessee department of transportation is assisting with the cleanup.",CNF,TN,1,1999,0.0,1999.0,TN-CNF-019|1999|1,35.083333333333336,-84.51666666666667,Acres,Type 3 Team,9851,TENNESSEE,,,,,
2584,1999-09-26,CA-LPF-865,KIRK COMPLEX,WF,5,N,43170.0,3306.0,Carmel     Big Sur    King City,,29594000.0,20.0,,0.0,0.0,0.0,0.0,1,Greenhoe       Smith,,L,1999-09-08,0,"south: burning out operations continued successfully from nacimiento ferguson rd. north through ft. hunter liggett military base to del venturi rd. the operations basically secured the southern perimeter of the fire burning on the base was conducted in cooperation with ft. hunter liggett fire dept.  the fire continues to burn west towards structures along hwy1 and n/e towards structures along indians rd.  in area were the fire has bumped planned control lines on the west side of the fire, suppression forces are holding the fire within those lines.north: warming and drying continued over the fire today.  increased fire activity was noted in miller cyn. & miller peak area.  crews continued to improve burnout lines and go direct on the fire in strategic locations.  fire continues to hold in the south fork of th big sur river & willow creek area.  a significant number of cdf & laco handcrews will be released in the next 24 hrs. as type ii crews arrive from outside the region",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2597,1999-09-27,CA-LPF-865,KIRK COMPLEX,WF,5,N,46190.0,3023.0,Carmel     Big Sur    King City,,30485282.0,25.0,,0.0,0.0,0.0,0.0,1,Greenhoe       Smith,,L,1999-09-08,0,"north:with the current hot and dry weather the fire continued active burning and slow progress to the north in the ventana cone miller peak areas. crews made good progress going direct on the east and south side of the fire. the west flank continues to hold on the south fork of the big sur river and the 1993 cieniga fire. mop-up continues in the burnout areas on chews ridge. south:high temps, low humidity and moderate northeasterly winds have caused some control problems. spot fires along the western side of the fire, that occurred last night, were contained this morning. weather predictions are for northeast winds up to 25mph along the coast tonight with extremely low humidity. structure protection measures remain in place for the communties and individual homes scattered along the coast. costs to date reflect actual expense tracking, and estimates have been refined.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
2609,1999-09-28,CA-LPF-865,KIRK COMPLEX,WF,5,N,72770.0,3139.0,Carmel     Big Sur    King City,,40761873.0,50.0,,0.0,0.0,0.0,0.0,1,Hutchison,,L,1999-09-08,0,"north:fire continues to spread north downhill towards the carmel river drainage south of los padres reservoir. the fire has crossed the carmel river in the area east of ventana double cone and is moving southwest up the drainage towards ventana double cone. this area today was in heavy smoke which prevented air operations and recon opportunities to assess the situation. local political concerns center on the carmel river watershed. ventana wilderness values, and threat to structures.south:firing ops cont on the west & northwest flanks. the firing that occurred on the east & southeast flanks was successful. firing is to cont down the west flank towards hwy1. as the fire continues to back down into devils canyon and big creek, the t&e species (steelhead trout & red legged frog) & their habitats remain a critical concern. watershed along hwy1 cont to be evaluated and is a serious concern. loss of resources due to 21-day restrictions continues to threaten staffing needs.",LPF,CA,1,1999,0.0,1999.0,CA-LPF-865|1999|1,0.0,-0.0,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
