,topic level,topic number,parent,number of documents in topic,topic words,number of words,best lesson,coherence
0,average,average,average,average,average,average,average,0.8191798015948264
1,std dev,std dev,std dev,std dev,std dev,std dev,std dev,0.054666817590617
2,0,0,-1,1639,"system, requirement, process, design, flight, include, project, ensure, review, require",11478,1413,0.591247296333313
3,1,8,0,44,"briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify",262,1710,0.7210396140813827
4,1,9,0,245,"protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",229,18601,0.743142768740654
5,1,10,0,253,"subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",469,771,0.716526085138321
6,1,11,0,306,"safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",598,1338,0.7090237587690353
7,1,12,0,95,"composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection",228,672,0.8347832798957825
8,1,13,0,77,"remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",251,24,0.8954148292541504
9,1,14,0,80,"propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",120,701,0.8790227174758911
10,1,15,0,9,"electronics, tape, scenario, spacecraft, possibility, vent, consideration, position, significant, capability",100,640,0.783888864517212
11,2,16,8,20,"piece part, mechanical, paper, relief, intend, verify, property, mount, stress, qualification",155,1581,0.7785204350948334
12,2,17,9,144,"hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode",182,4417,0.9186242580413818
13,2,18,58,15,"color, ground support equipment, connect, operate, identification, ground support, pressure, procedure, hazardous material, traceability",68,302,0.7840252190828323
14,2,19,10,26,"eliminate, reexamine, provide sufficient, effort, motor, upgrade, static, safety, supplier, risk",175,1077,0.7727936029434204
15,2,20,10,13,"supply, power supply, power, length, cable, parallel, feed, breakdown, connector, redesign",163,1609,0.8241830945014954
16,2,21,9,55,"valve, install, vent line, high pressure, check valve, utilize, prevent inadvertent, operation, system, vacuum",266,47,0.7628872007131576
17,2,22,11,19,"emergency, emergency response, alarm, building, protective, hazardous condition, annual, responsible, facility, service",272,12101,0.8214380323886872
18,2,23,10,160,"space flight, research center, prior start, high voltage, high temperature, take account, training certification, power source, potential hazard, test article",162,3516,0.8857827484607697
