,Agency,Unit,Region,Location,Date,Local Time,Date Submitted,Tracking #,Mission Type,Procurement Type,Persons Onboard,Departure Point,Destination,Special Use,Damages,Injuries,Hazardous Materials,Other Procurement Type,Other Mission Type,Type,Manufacturer,Model,Narrative,Corrective Action,Hazard,Incident,Management,UAS,Accident,Airspace,Maintenance,Mishap Prevention,Extractive Summarized Narrative,Extractive Summarized Corrective Action,Abstractive Summarized Narrative,Abstractive Summarized Corrective Action,Text
0,State,,Wyoming,"KYBG, Buffalo, West Ridge Fire",11/9/2014,2:00 PM,,15-0052,"Fire, Water Drop (Helicopter Bucket)",Other/Unknown,1.0,KYBG,KYBG,No,No,No,No,,,Unmanned Aircraft System (UAS),Eurocopter,AS350B3,"On 11-08-2014 during the initial attack phase of the West Range Fire in Buffalo, WY there were reports from firefighters of a recreational type unmanned aircraft system {UAS} flying in and near the perimeter of the fire. There were no suppression aircraft on scene at this time, but a Type 3 helicopter was on order and anticipated beginning of shift on 11-09-2014. Local law enforcement assisting in evacuations was notified at this time as well as the Safety Officer to be on the lookout for the UAS operator. On 11-09-2014 an AS350B3 was on scene assisting in suppression operations. The pilot was told of the UAS sighting, as well as other single engine fixed wing operating the previous day in and around the fire area during initial briefing. A TFR was put in place prior to aerial suppression operations 11-09-2014. Later that day, an individual near the fire line {which was abutting a state highway} was witnessed by the IC with what appeared to be a UAS controlling system. Altitude the UAS was operating at is unknown. Heavy smoke and erratic fire behavior conditions were exhibited at the time of the incident. See attached photo.","The IC immediately confronted the individual who admitted to flying a recreational UAS, which prompted the IC to order the individual to immediately cease operation of the UAS, and leave the fire area.  There were aerial suppression operations taking place at the same time and in the same area by the Type 3 helicopter {bucket work}.  Helibase was notified of the situation by the Safety Officer. Information was passed to pilot by HMGB, after the fact as UAS operator was found, confronted, and removed from the scene prior to notification. Local Law enforcement was also notified of the incident and put into contact with the UAS operator.  Wide circulation of events is encouraged due to likelihood of future incidents with high potential for catastrophic outcome. Local, State, and regional aviation managers were notified prior to this posting.","Pilot Action, Other, Unqualified Personnel",,,,,"Intrusion, Procedures, Conflict, Congestion",,Kudos,"On 11-08-2014 during the initial attack phase of the West Range Fire in Buffalo, WY there were reports from firefighters of a recreational type unmanned aircraft system {UAS} flying in and near the perimeter of the fire. Later that day, an individual near the fire line {which was abutting a state highway} was witnessed by the IC with what appeared to be a UAS controlling system. Altitude the UAS was operating at is unknown.","The IC immediately confronted the individual who admitted to flying a recreational UAS, which prompted the IC to order the individual to immediately cease operation of the UAS, and leave the fire area.","<pad> on 11-08-2014 there were reports from firefighters of a recreational type unmanned aircraft system <unk> UAS<unk> flying in and near the perimeter of the fire. there were no suppression aircraft on scene at this time, but a Type 3 helicopter was on order and anticipated beginning of shift on 11-09-2014.</s>",<pad> the IC immediately confronted the individual who admitted to flying a recreational UAS. the individual was ordered to cease operation of the UAS and leave the fire area. HMGB passed information to pilot after the fact as UAS operator was found.</s>,"On 11-08-2014 during the initial attack phase of the West Range Fire in Buffalo, WY there were reports from firefighters of a recreational type unmanned aircraft system {UAS} flying in and near the perimeter of the fire. There were no suppression aircraft on scene at this time, but a Type 3 helicopter was on order and anticipated beginning of shift on 11-09-2014. Local law enforcement assisting in evacuations was notified at this time as well as the Safety Officer to be on the lookout for the UAS operator. On 11-09-2014 an AS350B3 was on scene assisting in suppression operations. The pilot was told of the UAS sighting, as well as other single engine fixed wing operating the previous day in and around the fire area during initial briefing. A TFR was put in place prior to aerial suppression operations 11-09-2014. Later that day, an individual near the fire line {which was abutting a state highway} was witnessed by the IC with what appeared to be a UAS controlling system. Altitude the UAS was operating at is unknown. Heavy smoke and erratic fire behavior conditions were exhibited at the time of the incident. See attached photo. The IC immediately confronted the individual who admitted to flying a recreational UAS, which prompted the IC to order the individual to immediately cease operation of the UAS, and leave the fire area.  There were aerial suppression operations taking place at the same time and in the same area by the Type 3 helicopter {bucket work}.  Helibase was notified of the situation by the Safety Officer. Information was passed to pilot by HMGB, after the fact as UAS operator was found, confronted, and removed from the scene prior to notification. Local Law enforcement was also notified of the incident and put into contact with the UAS operator.  Wide circulation of events is encouraged due to likelihood of future incidents with high potential for catastrophic outcome. Local, State, and regional aviation managers were notified prior to this posting."
1,Bureau of Indian Affairs (BIA),,,213 Fire,4/12/2015,4:00 PM,,15-0166,"Fire, Initial Attack",,,,,No,No,No,No,,,Unmanned Aircraft System (UAS),,,"During initial attack of the 213 Fire south of Durango, CO a hobbyist offered the local fire department to fly his camera-equipped drone over the fire and take video. I was notified of the aircraft doing the mission as I took command of the fire which was on Federal/BIA jurisdiction. There were no aircraft assigned to the fire, no TFR in place and no nearby airports and the mission took place without incident.","The fire department has been notified that on federal land, UAS will not be allowed without proper FAA accreditation and only after being ordered. They will now contact cooperating federal fire managers and request permission before launching any UAS impacting federal lands.","Other, Unqualified Personnel",,"Internal, External",,,Other,,,"During initial attack of the 213 Fire south of Durango, CO a hobbyist offered the local fire department to fly his camera-equipped drone over the fire and take video. I was notified of the aircraft doing the mission as I took command of the fire which was on Federal/BIA jurisdiction. There were no aircraft assigned to the fire, no TFR in place and no nearby airports and the mission took place without incident.","The fire department has been notified that on federal land, UAS will not be allowed without proper FAA accreditation and only after being ordered.","<pad> a hobbyist offered to fly his drone over the 213 fire south of Durango, CO. he took command of the fire which was on Federal/BIA jurisdiction. there were no aircraft assigned to the fire, no TFR in place.</s>","<pad> the fire department has been notified that on federal land, UAS will not be allowed without proper FAA accreditation. they will now contact cooperating federal fire managers and request permission before launching any UAS.</s>","During initial attack of the 213 Fire south of Durango, CO a hobbyist offered the local fire department to fly his camera-equipped drone over the fire and take video. I was notified of the aircraft doing the mission as I took command of the fire which was on Federal/BIA jurisdiction. There were no aircraft assigned to the fire, no TFR in place and no nearby airports and the mission took place without incident. The fire department has been notified that on federal land, UAS will not be allowed without proper FAA accreditation and only after being ordered. They will now contact cooperating federal fire managers and request permission before launching any UAS impacting federal lands."
2,Forest Service (USFS),San Bernardino NF,Region 05 Pacific Southwest Region,Lake Fire BDF,6/24/2015,5:45 PM,,15-0327,"Fire, Air Attack",Exclusive use contract,2.0,SBD,Fire,Yes,No,No,No,,,Unmanned Aircraft System (UAS),Aero Commander,690,"At 1745 hours PST, while performing an air attack transition and while dropping Retardant on `Div Quebec`” Outgoing Air Attack{Actual}, had a Drone fly under the platform splitting the lead plane and the outgoing Air Attack vertically by Approx. 500ft. The Lead Plane and Airtankers were called off by the outgoing air attack and instructed to ``Go Around``.  The Drone then flew out of sight to the south. The drone is described as a red or orange fix-wing platform with a 3 to 4 wing span. The transition was finished and handed over to the incoming air attack. Air attack ceased all fixed wing operations and airtankers were returned to airtanker base. Law enforcement was then notified. Upon returning to the tanker base on a route 1 mile North of Heaps Peak Helibase another drone was spotted 500ft below the outgoing air attack. Outgoing air attack performed a hard right to avoid and try to detect flight path of drone.  Drone then descended to the East and visual contact was lost.  Outgoing air attack then completed its descent and landed at KSBD with no further Incident.","All Fixed Wing Operations halted on south aspect of Fire, all notifications were made at the local and regional level.",,Other,,,,"Intrusion, Conflict",,,"At 1745 hours PST, while performing an air attack transition and while dropping Retardant on `Div Quebec`” Outgoing Air Attack{Actual}, had a Drone fly under the platform splitting the lead plane and the outgoing Air Attack vertically by Approx. The Lead Plane and Airtankers were called off by the outgoing air attack and instructed to ``Go Around``. Upon returning to the tanker base on a route 1 mile North of Heaps Peak Helibase another drone was spotted 500ft below the outgoing air attack.","All Fixed Wing Operations halted on south aspect of Fire, all notifications were made at the local and regional level.","<pad> at 1745 hours PST, while performing an air attack transition, had a Drone fly under the platform splitting the lead plane and the outgoing Air Attack vertically by approx. 500ft. the drone is described as a red or orange fix-wing platform with a 3 to 4 wing span.</s>",<pad> all Fixed Wing Operations halted on south aspect of Fire. notifications made at the local and regional level. all Fixed Wing Operations were halted on south aspect of Fire.</s>,"At 1745 hours PST, while performing an air attack transition and while dropping Retardant on `Div Quebec`” Outgoing Air Attack{Actual}, had a Drone fly under the platform splitting the lead plane and the outgoing Air Attack vertically by Approx. 500ft. The Lead Plane and Airtankers were called off by the outgoing air attack and instructed to ``Go Around``.  The Drone then flew out of sight to the south. The drone is described as a red or orange fix-wing platform with a 3 to 4 wing span. The transition was finished and handed over to the incoming air attack. Air attack ceased all fixed wing operations and airtankers were returned to airtanker base. Law enforcement was then notified. Upon returning to the tanker base on a route 1 mile North of Heaps Peak Helibase another drone was spotted 500ft below the outgoing air attack. Outgoing air attack performed a hard right to avoid and try to detect flight path of drone.  Drone then descended to the East and visual contact was lost.  Outgoing air attack then completed its descent and landed at KSBD with no further Incident. All Fixed Wing Operations halted on south aspect of Fire, all notifications were made at the local and regional level."
3,Forest Service (USFS),San Bernardino NF,Region 05 Pacific Southwest Region,Lake Fire Redlands Ca.,6/24/2015,11:00 PM,,15-0339,"Fire, Water Drop (Helicopter Bucket)",CWN (Call when needed),3.0,KREI,KREI,No,No,No,No,,,Unmanned Aircraft System (UAS),Boeing,CH47,"While on USFS CWN Fire contract duties supporting the fire near Redlands, CA, H-XXX was contacted by LP and advised that a DRONE was spotted by  Air Attack in Division Q {Quebec}. H-XXX was dropping water on the ridge line at 10,500 msl in Division Q. Lead Plane provided no input on what action should be taken. The PIC advise Lead  that H-XXX was departing the area to the SW. H-XXX remained clear of Division Q near Dip site Jenks Lake. H-XXX could not raise Air Attack or Lead on rotor victor air to air frequency x 4 attempts so elected to return to  Helibase.",PIC departed the area.Flight Crew was not aware of USFS policy on actions to take if DRONES are encountered within a FIRE TFR.  PIC elected to depart the area.,Communications,Precautionary Landing,,,,,,Kudos,"While on USFS CWN Fire contract duties supporting the fire near Redlands, CA, H-XXX was contacted by LP and advised that a DRONE was spotted by  Air Attack in Division Q {Quebec}. H-XXX was dropping water on the ridge line at 10,500 msl in Division Q. Lead Plane provided no input on what action should be taken. The PIC advise Lead  that H-XXX was departing the area to the SW.",Flight Crew was not aware of USFS policy on actions to take if DRONES are encountered within a FIRE TFR.,"<pad> H-XXX was dropping water on the ridge line at 10,500 msl in Division Q. LP provided no input on what action should be taken. H-XXX could not raise Air Attack or Lead on rotor victor air to air frequency x 4 attempts so elected to return to Helibase.</s>",<pad> flight crew was not aware of USFS policy on actions to take if DRONES are encountered within a FIRE TFR. PIC elected to depart the area.Flight Crew was not aware of the policy on actions to take if DRONES are encountered within a FIRE TFR.</s>,"While on USFS CWN Fire contract duties supporting the fire near Redlands, CA, H-XXX was contacted by LP and advised that a DRONE was spotted by  Air Attack in Division Q {Quebec}. H-XXX was dropping water on the ridge line at 10,500 msl in Division Q. Lead Plane provided no input on what action should be taken. The PIC advise Lead  that H-XXX was departing the area to the SW. H-XXX remained clear of Division Q near Dip site Jenks Lake. H-XXX could not raise Air Attack or Lead on rotor victor air to air frequency x 4 attempts so elected to return to  Helibase. PIC departed the area.Flight Crew was not aware of USFS policy on actions to take if DRONES are encountered within a FIRE TFR.  PIC elected to depart the area."
4,Bureau of Land Management (BLM),Spokane District,Oregon/Washington State Office,Douglas Complex,7/11/2015,9:20 PM,,15-0425,"Fire, Air Attack",Exclusive use contract,2.0,EAT,EAT,Yes,No,No,No,,,Unmanned Aircraft System (UAS),Unknown,,"On July 11, 2015 at approximately 2120 hours, a UAV was observed flying within a TFR on the Douglas Complex. At the time the UAV was first observed, all tactical missions had been completed with Lead, Tankers and Helicopters returning to their respective bases. The air attack platform was remaining on station to map and gather additional intelligence for the newly transitioned Type III team when the UAV was spotted by the pilot of the Air Attack platform. The Air Attack platform established a high orbit over the UAV, maintaining visual contact. Orbiting above the UAV, the UAV immediately reversed course and landed in the vicinity of a vehicle parked along Armstrong road, approximately 3 miles from the fire perimeter and two miles within the established TFR. Once the UAV was on the ground the Air Attack platform descended to 500+ AGL and orbited the vehicle. The UAV was loaded into what appeared to be a grey or silver SUV and departed the area to the north along Armstrong road and then traveled west on HWY 2. A basic vehicle description and direction of travel was relayed to dispatch and the fire operations of the complex. Air Attack returned to Wenatchee without incident. A debrief was conducted with the Unit Aviation Officer and the Assistant Center Manager/Aircraft at the Central Washington Interagency Communications Center",Information regarding the UAV intrusion was shared with the Air Space Coordinator and this Safecom was authored.,Other,,External,,,Other,,,"On July 11, 2015 at approximately 2120 hours, a UAV was observed flying within a TFR on the Douglas Complex. Once the UAV was on the ground the Air Attack platform descended to 500+ AGL and orbited the vehicle. Air Attack returned to Wenatchee without incident.",Information regarding the UAV intrusion was shared with the Air Space Coordinator and this Safecom was authored.,<pad> a UAV was observed flying within a TFR on the Douglas Complex. the air attack platform was remaining on station to map and gather additional intelligence. the aircraft reversed course and landed in the vicinity of a vehicle parked along Armstrong road.</s>,<pad> this Safecom was authored by the air space coordinator. the airspace coordinator shared the information with the air space coordinator. this Safecom was also authored by the air space coordinator.</s>,"On July 11, 2015 at approximately 2120 hours, a UAV was observed flying within a TFR on the Douglas Complex. At the time the UAV was first observed, all tactical missions had been completed with Lead, Tankers and Helicopters returning to their respective bases. The air attack platform was remaining on station to map and gather additional intelligence for the newly transitioned Type III team when the UAV was spotted by the pilot of the Air Attack platform. The Air Attack platform established a high orbit over the UAV, maintaining visual contact. Orbiting above the UAV, the UAV immediately reversed course and landed in the vicinity of a vehicle parked along Armstrong road, approximately 3 miles from the fire perimeter and two miles within the established TFR. Once the UAV was on the ground the Air Attack platform descended to 500+ AGL and orbited the vehicle. The UAV was loaded into what appeared to be a grey or silver SUV and departed the area to the north along Armstrong road and then traveled west on HWY 2. A basic vehicle description and direction of travel was relayed to dispatch and the fire operations of the complex. Air Attack returned to Wenatchee without incident. A debrief was conducted with the Unit Aviation Officer and the Assistant Center Manager/Aircraft at the Central Washington Interagency Communications Center Information regarding the UAV intrusion was shared with the Air Space Coordinator and this Safecom was authored."
5,Forest Service (USFS),Eldorado NF,Region 05 Pacific Southwest Region,Placerville Airport,7/16/2015,5:20 PM,,15-0453,"Fire, Helitack",Exclusive use contract,4.0,Adventure Fire,Placerville Airport,No,No,No,No,,,Unmanned Aircraft System (UAS),Eurocopter,AS350B3,"After being released from the a fire near Coloma, California Helicopter-XXX stopped in Placerville for fuel. Upon arrival at the Placerville airport the pilot was unable to raise the FBO on the CTAF frequency so we landed on the helispot at the west end of the taxi way to try to make contact with the FBO. After no contact was made helicopter-XXX lifted from the helispot to re-position to the self serve fuel island. During the move to the fuel island we encountered a small ``drone`` operating out of a hangar over the west end of the parking ramp approximately 30 feet above ground level and 100 feet from the taxiway. The drone appeared to be overflying the parked single engine airplanes on the ramp. Once it was identified we decided to maintain visual on the drone as we taxied to the fuel island. As we continued on our path it became apparent that the operator was going to keep flying the drone in our direction. Helicopter-XXX gained altitude to about 50 feet AGL and the drone flew directly under us at approximately 20 feet AGL.","After landing at the self serve fuel island the helicopter manager walked down to the west hangar and confronted the operator of the drone, explaining that drone operations are prohibited in airspaces such as airports and TFR````s.  After discussing it with the operators I called the Eldorado National Forest FMO and left a message as well as the region 2 HOS.  On July 17, 2015 I contacted the FAA in Reno {Jim Richardson} and filed a report.  The FAA investigator took my statement contact information and will be receiving a narrative report via email. In addition Julie Stewart the USFS/BLM National Airspace Coordinator was notified and the encounter will be documented on the master list she is keeping.",,With Potential,,,,Near Mid-Air,,,"After being released from the a fire near Coloma, California Helicopter-XXX stopped in Placerville for fuel. During the move to the fuel island we encountered a small ``drone`` operating out of a hangar over the west end of the parking ramp approximately 30 feet above ground level and 100 feet from the taxiway. Once it was identified we decided to maintain visual on the drone as we taxied to the fuel island.","After landing at the self serve fuel island the helicopter manager walked down to the west hangar and confronted the operator of the drone, explaining that drone operations are prohibited in airspaces such as airports and TFR````s.","<pad> after being released from a fire near Coloma, California, Helicopter-XXX stopped in Placerville for fuel. the pilot was unable to raise the FBO on the CTAF frequency so we landed on the helispot at the west end of the taxi way to try to make contact with the FBO. after no contact was made helicopter-XXX lifted from the helispot to re-position to the self serve fuel island.</s>",<pad> after landing at the self serve fuel island the helicopter manager confronted the operator of the drone. he explained that drone operations are prohibited in airspaces such as airports and TFR<unk> s. the encounter will be documented on the master list she is keeping.</s>,"After being released from the a fire near Coloma, California Helicopter-XXX stopped in Placerville for fuel. Upon arrival at the Placerville airport the pilot was unable to raise the FBO on the CTAF frequency so we landed on the helispot at the west end of the taxi way to try to make contact with the FBO. After no contact was made helicopter-XXX lifted from the helispot to re-position to the self serve fuel island. During the move to the fuel island we encountered a small ``drone`` operating out of a hangar over the west end of the parking ramp approximately 30 feet above ground level and 100 feet from the taxiway. The drone appeared to be overflying the parked single engine airplanes on the ramp. Once it was identified we decided to maintain visual on the drone as we taxied to the fuel island. As we continued on our path it became apparent that the operator was going to keep flying the drone in our direction. Helicopter-XXX gained altitude to about 50 feet AGL and the drone flew directly under us at approximately 20 feet AGL. After landing at the self serve fuel island the helicopter manager walked down to the west hangar and confronted the operator of the drone, explaining that drone operations are prohibited in airspaces such as airports and TFR````s.  After discussing it with the operators I called the Eldorado National Forest FMO and left a message as well as the region 2 HOS.  On July 17, 2015 I contacted the FAA in Reno {Jim Richardson} and filed a report.  The FAA investigator took my statement contact information and will be receiving a narrative report via email. In addition Julie Stewart the USFS/BLM National Airspace Coordinator was notified and the encounter will be documented on the master list she is keeping."
6,Forest Service (USFS),San Bernardino NF,Region 05 Pacific Southwest Region,Mill 2 Fire,7/12/2015,2:42 PM,,15-0457,"Fire, Air Attack",Exclusive use contract,2.0,,,No,No,No,No,,,Unmanned Aircraft System (UAS),Rockwell,OV10,"Airspace incursion: On the date of 7-12-15 while on the Initial attack of the, we were made aware of a medium sized drone near the point of origin. San Bernardino Dispatch was Notified and the aircraft were put on hold at San Bernardino Air Tanker Base by the Air Attack. The operator was spotted and BDF Patrol-XX began to pursue the operator located about 200 yards away. The Patrol made contact with the individual and forced him to land his plane. San Bernardino Dispatch was then notified and the air resources were then launched to the fire. This delay lasted about 30 minutes, causing the fire to grow rapidly and threaten structures on Yucaipa Ridge. The fire was then quickly contained when the aviation resources arrived delivering retardant and water to the head of the fire. The Patrol was not able to detain the Drone operator who was very upset and cursing at the Patrol that he was well in his rights to be there with his aircraft. The patrol was able to get the license Plate of the vehicle, latter leading to SBSO, CHP, and Local FS Law Enforcement to talk to the suspect at his house. Not sure of the outcome or if citations were Issued.","Hold Aircraft, Clear area of drone activity, re-engage",,,,,,Conflict,,,"Airspace incursion: On the date of 7-12-15 while on the Initial attack of the, we were made aware of a medium sized drone near the point of origin. San Bernardino Dispatch was then notified and the air resources were then launched to the fire. The Patrol was not able to detain the Drone operator who was very upset and cursing at the Patrol that he was well in his rights to be there with his aircraft.","Hold Aircraft, Clear area of drone activity, re-engage",<pad> a medium sized drone was spotted near the point of origin. the drone was put on hold by the air attack. the drone operator was upset and cursing at the patrol that he was in his rights.</s>,"<pad> Hold Aircraft, Clear area of drone activity, re-engage drone. Hold Aircraft, Clear area of drone activity, re-engage drone. re-engage drone, Clear area of drone activity.</s>","Airspace incursion: On the date of 7-12-15 while on the Initial attack of the, we were made aware of a medium sized drone near the point of origin. San Bernardino Dispatch was Notified and the aircraft were put on hold at San Bernardino Air Tanker Base by the Air Attack. The operator was spotted and BDF Patrol-XX began to pursue the operator located about 200 yards away. The Patrol made contact with the individual and forced him to land his plane. San Bernardino Dispatch was then notified and the air resources were then launched to the fire. This delay lasted about 30 minutes, causing the fire to grow rapidly and threaten structures on Yucaipa Ridge. The fire was then quickly contained when the aviation resources arrived delivering retardant and water to the head of the fire. The Patrol was not able to detain the Drone operator who was very upset and cursing at the Patrol that he was well in his rights to be there with his aircraft. The patrol was able to get the license Plate of the vehicle, latter leading to SBSO, CHP, and Local FS Law Enforcement to talk to the suspect at his house. Not sure of the outcome or if citations were Issued. Hold Aircraft, Clear area of drone activity, re-engage"
7,Forest Service (USFS),San Bernardino NF,Region 05 Pacific Southwest Region,North Fire,7/17/2015,3:00 PM,,15-0458,"Fire, Air Attack",Exclusive use contract,2.0,SBD,North Fire,No,No,No,No,,,Unmanned Aircraft System (UAS),Aero Commander,690,"Air Incursion: While responding to the fire as Air Attack shortly after reporting 4-5 acres rapid rate of spread with spotting, deciding to go direct on the Left Flank with Bravo -XX, Tanker -XX, Tanker YYY, Helitanker- XXX and Helicopter-XXX. At that time AA pilot spotted a medium sized RC aircraft/drone north of the fire 1 mile heading south to the fire behind Bravo-XX with tankers in tow. All aviation resources were then diverted to the east of the fire until the drone was clear. Shortly after with immediate life threat on the 15 fwy {several vehicles on fire} I decided to have Helicopter-XXX proceed with high caution to where the drone operators were spotted landing and make contact with them on the FS 3N24 road. While on final to land on the road, the helicopter’s rotor wash crashed all 3 RC planes/drones. LEO was shortly behind and soon made contact with the operators. There were also 2 other RC/Drones that interfered with the lead plane by pursuing the LP at 6 o`clock.  Both these RC/Drones left the area. All aircraft were then returned to the fire to begin their suppression efforts. The delay of 20 mins in aircraft was critical in the growth of the fire, with the heavy aviation response on scene of the fire when the drones interference, it is without doubt this fire could have been stopped at less than 100 acres with minimal loss to property. Forest Service LEO’s detained the operators for questioning.","Mitigated Drone activity, re-engaged",,,,,,Conflict,,,"Air Incursion: While responding to the fire as Air Attack shortly after reporting 4-5 acres rapid rate of spread with spotting, deciding to go direct on the Left Flank with Bravo -XX, Tanker -XX, Tanker YYY, Helitanker- XXX and Helicopter-XXX. Shortly after with immediate life threat on the 15 fwy {several vehicles on fire} I decided to have Helicopter-XXX proceed with high caution to where the drone operators were spotted landing and make contact with them on the FS 3N24 road. LEO was shortly behind and soon made contact with the operators.",,<pad> AA pilot spotted a medium sized RC aircraft/drone north of the fire. all aviation resources were diverted to the east of the fire until the drone was clear. helicopter’s rotor wash crashed all 3 RC planes/drones.</s>,"<pad> Mitigated Drone activity, re-engaged Drones. Mitigated Drone activity, re-engaged Drones. Mitigated Drone activity, re-engaged Drones.</s>","Air Incursion: While responding to the fire as Air Attack shortly after reporting 4-5 acres rapid rate of spread with spotting, deciding to go direct on the Left Flank with Bravo -XX, Tanker -XX, Tanker YYY, Helitanker- XXX and Helicopter-XXX. At that time AA pilot spotted a medium sized RC aircraft/drone north of the fire 1 mile heading south to the fire behind Bravo-XX with tankers in tow. All aviation resources were then diverted to the east of the fire until the drone was clear. Shortly after with immediate life threat on the 15 fwy {several vehicles on fire} I decided to have Helicopter-XXX proceed with high caution to where the drone operators were spotted landing and make contact with them on the FS 3N24 road. While on final to land on the road, the helicopter’s rotor wash crashed all 3 RC planes/drones. LEO was shortly behind and soon made contact with the operators. There were also 2 other RC/Drones that interfered with the lead plane by pursuing the LP at 6 o`clock.  Both these RC/Drones left the area. All aircraft were then returned to the fire to begin their suppression efforts. The delay of 20 mins in aircraft was critical in the growth of the fire, with the heavy aviation response on scene of the fire when the drones interference, it is without doubt this fire could have been stopped at less than 100 acres with minimal loss to property. Forest Service LEO’s detained the operators for questioning. Mitigated Drone activity, re-engaged"
8,Forest Service (USFS),Inyo NF,Region 05 Pacific Southwest Region,Walker Fire TFR,8/23/2015,9:34 AM,,15-0682,"Fire, Reconnaissance",Exclusive use contract,,Lee Vining Helibase,Walker BAER Recon,No,No,No,No,,,Unmanned Aircraft System (UAS),Unknown,,"On 08/23/15 at approximately 0934 hours, the Owens Valley Interagency Communication Center received a report of a drone incursion into the Walker Fire TFR. Walker Air Operations immediately had H-XXX {who was up performing a recon mission} return to their helibase and shut-down. The original report came from a recreational field employee who advised that the drone operator had landed his drone and was leaving the area in a rental vehicle. Dispatch immediately dispatched a BLM law enforcement Ranger, who was already in the area to investigate. The BLM law enforcement ranger quickly located the drone operator and performed a traffic stop. After speaking with the drone operator the ranger determined that the drone operator, a foreign national, was attempting to film a documentary and was unaware of the tfr/fire operations. The ranger got the subjects contact info for follow up if needed.",Drone operator was counseled by law enforcement on the dangers of drone use near fire operations. The operator acknowledged the dangers and was cooperative.,,,,,,Intrusion,,,"On 08/23/15 at approximately 0934 hours, the Owens Valley Interagency Communication Center received a report of a drone incursion into the Walker Fire TFR. The original report came from a recreational field employee who advised that the drone operator had landed his drone and was leaving the area in a rental vehicle. Dispatch immediately dispatched a BLM law enforcement Ranger, who was already in the area to investigate.",Drone operator was counseled by law enforcement on the dangers of drone use near fire operations.,"<pad> on 08/23/15 at approximately 0934 hours, the Owens Valley Interagency Communication Center received a report of a drone incursion into the Walker Fire TFR. the original report came from a recreational field employee who advised that the drone operator had landed his drone and was leaving the area in a rental vehicle. Dispatch immediately dispatched a BLM law enforcement Ranger, who was already in the area to investigate.</s>",<pad> drone operator was counseled by law enforcement on the dangers of drone use near fire operations. he acknowledged the dangers and was cooperative. the operator was able to fly a drone around a fire hazard.</s>,"On 08/23/15 at approximately 0934 hours, the Owens Valley Interagency Communication Center received a report of a drone incursion into the Walker Fire TFR. Walker Air Operations immediately had H-XXX {who was up performing a recon mission} return to their helibase and shut-down. The original report came from a recreational field employee who advised that the drone operator had landed his drone and was leaving the area in a rental vehicle. Dispatch immediately dispatched a BLM law enforcement Ranger, who was already in the area to investigate. The BLM law enforcement ranger quickly located the drone operator and performed a traffic stop. After speaking with the drone operator the ranger determined that the drone operator, a foreign national, was attempting to film a documentary and was unaware of the tfr/fire operations. The ranger got the subjects contact info for follow up if needed. Drone operator was counseled by law enforcement on the dangers of drone use near fire operations. The operator acknowledged the dangers and was cooperative."
9,Bureau of Land Management (BLM),Worland Field Office,Wyoming State Office,"Cedar Mountain Fire, Cody, WY",8/29/2015,4:00 PM,,15-0754,"Fire, Initial Attack",None,,,,No,No,No,No,,,Unmanned Aircraft System (UAS),,,"On August 29, 2015, I was watching aviation and ground operations on the fire approximately 1 mile from the fire line. Between 1600 and 1630, while aviation operations were ongoing, an unmanned aircraft system {UAS or drone} flew overhead and continued toward the fire line.","I located the individual flying the UAS, informed him that his actions were compromising the safety of the men and women fighting the fire, and asked that he stop flying the UAS.  He immediately complied with my request and apologized.",Other,,,,,"Intrusion, Other",,,"On August 29, 2015, I was watching aviation and ground operations on the fire approximately 1 mile from the fire line. Between 1600 and 1630, while aviation operations were ongoing, an unmanned aircraft system {UAS or drone} flew overhead and continued toward the fire line.","I located the individual flying the UAS, informed him that his actions were compromising the safety of the men and women fighting the fire, and asked that he stop flying the UAS.","<pad> on august 29, 2015, i was watching aviation and ground operations on the fire. an unmanned aircraft system <unk> UAS or drone<unk> flew overhead and continued toward the fire line.</s>",<pad> the individual flying the UAS complied with my request and apologized. he immediately complied with my request and apologized. he has since been released on paid leave.</s>,"On August 29, 2015, I was watching aviation and ground operations on the fire approximately 1 mile from the fire line. Between 1600 and 1630, while aviation operations were ongoing, an unmanned aircraft system {UAS or drone} flew overhead and continued toward the fire line. I located the individual flying the UAS, informed him that his actions were compromising the safety of the men and women fighting the fire, and asked that he stop flying the UAS.  He immediately complied with my request and apologized."
