cluster,Phase,Cause,Failure Mode,Effect,Control Process,Recommendations,Frequency,Severity,Risk,NTSB
AC/prop/rotor contact w person,Enroute-Cruise; Standing-Engine(s) Operating; Approach-VFR Pattern Crosswind; Landing-Landing Roll; Landing-Flare/Touchdown; Enroute; Takeoff; Approach-VFR Pattern Final; Maneuvering-Hover; Standing-Engine(s) Start-up; Landing; Emergency Descent; Unknown,"flight instructor ’ s, failure to maintain clearance from the,","was, by the, rotating, propeller, passenger's, inadvertent contact with a,","struck, propeller, fell to the, ground, inflict, injuries, propeller to","flight instructors, back, policy prohibiting, airplane was, parked on a,","exit and, walk toward the, of an, anyone from, or,",3,4.136363636363637,12.40909090909091,20200518X25034
Abnormal runway contact,Approach-VFR Pattern Downwind; Standing-Engine(s) Operating; Enroute; Enroute-Descent; Taxi-to Runway; Landing; Standing-Engine(s) Not Oper; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Enroute-Change of cruise level; Approach-VFR Pattern Final; Enroute-Climb to cruise; Taxi-into Takeoff Position; Approach-VFR Pattern Base; Standing-Engine(s) Start-up; Enroute-Cruise; Maneuvering-Low-alt flying; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Post-Impact; Landing-Landing Roll,"did not extend the landing, gear, distraction, not using a","was, distracted, power, sound of the airplane ’ s fuselage",", pitch, control, during, reduced, power, takeoff, airplane, struck the,","lowered the landing gear, landing, a closed, pattern, repositioned the",", to climb, away, your, point, not have delayed performance,",4,3.0477386934673367,12.190954773869347,20180428X85447
Abrupt maneuver,Enroute; Taxi-to Runway; Landing; Maneuvering-Aerobatics; Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Unknown; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-IFR Missed Approach; Maneuvering-Hover; Landing-Landing Roll,"incomplete and, incorrect, coordination, between air traffic, controllers, controllers ’,","77, maintain the same, altitude, near - midair, collision, error,","the, to, stop, right, dropped, airplane, stalled, entered a, spin,","provided traffic, advisories, each, conflict, assigned, methad, passengers, sent, surrounding,",", www, guarded, collective, input, stay in the, traffic, pattern,",3,3.6470588235294117,10.941176470588236,20160130X60210
Aerodynamic stall/spin,Approach-VFR Pattern Downwind; Standing-Engine(s) Operating; After Landing; Enroute; Enroute-Descent; Taxi-to Runway; Approach; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Standing; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Approach-VFR Pattern Base; Enroute-Cruise; Maneuvering-Low-alt flying; Post-Impact; Maneuvering-Hover; Approach-VFR Go-Around; Landing-Landing Roll,"pilot's, failure to maintain adequate, airspeed, was, practicing takeoffs and,","stall / spin, impacted, wing, stalled, and, pass, then fly","ground, airplane, bank, too, steeply, left, subsequently, airplane was too,","clear, skies, calm, wind, full power to go, land, down",", see the, docket, view, original, full - flare is",4,3.6956521739130435,14.782608695652174,20150901X02521
Air traffic event,Enroute-Cruise; Initial Climb; Approach-IFR Final Approach; Maneuvering-Low-alt flying; Landing-Flare/Touchdown; Takeoff; Approach-VFR Pattern Final; Approach; Prior to Flight; Landing-Landing Roll; Other,"glider pilot ’ s, turned on the base leg of","off, airport, landing, headwind, of, railroad, tower controller's loss of,","-, landed, impacted, terrain, a, embankment, substantial, damage to the","land, radar, vectors, vectored, -, cleared, turbulence, advisory, wake turbulence,",", contact, runway, separation, issue traffic, information, to each, separate",3,1.5555555555555556,4.666666666666667,20160418X44917
Aircraft inspection event,Enroute-Cruise; Initial Climb; Maneuvering-Low-alt flying; Uncontrolled Descent; Standing; Landing-Flare/Touchdown; Takeoff; Enroute-Climb to cruise; Post-Impact; Approach; Prior to Flight; Landing-Landing Roll; Landing; Emergency Descent; Maneuvering,"inadequate inspection and rigging of the nose landing gear downlock,","failure of a, bolt, “, pop ”, sound, nose gear,","collapse of the nose, gear, collapsed, coolant, the, airplane, ,","been, inspected, preflight, inspection, engine, ultrasonic, method, grain, direction, a",", to, fatigue, stresses, cap, with the longitudinal grain, direction,",3,3.1714285714285713,9.514285714285714,20120404X75417
Aircraft loading event,Enroute-Cruise; Standing-Engine(s) Operating; Maneuvering-Low-alt flying; Uncontrolled Descent; Landing-Flare/Touchdown; Enroute; Takeoff-Rejected Takeoff; Enroute-Climb to cruise; Prior to Flight; Landing-Landing Roll; Landing,"pilot ’ s, failure to maintain airplane, control, inadequate preflight,","encounter with, aerodynamic, stall, mechanical, disc, airplane's nose pitched, up,","airplane became, airborne, left cockpit door, airplane, stalled, impacted, berm,","certificated gross, full, power, items, the baggage compartment were removed",", conditions, distance, perform airplane performance, calculations, determine takeoff, distances,",3,3.5,10.5,20160726X85117
Aircraft maintenance event,Initial Climb; Maneuvering-Low-alt flying; Maneuvering; Uncontrolled Descent; Enroute; Landing-Flare/Touchdown; Takeoff; Approach-VFR Pattern Final; Post-Impact; Prior to Flight; Landing-Landing Roll; Landing; Emergency Descent; Unknown,"left engine, back, black, smoke, trailing, engine, water contamination of","engine, fire, damage, to, wheel brake, loss of directional, control,","engine, damaged, airplane, departed the, tubes, to, fire, damage, to","engine -, run, depart, first officer was the pilot, captain",", nuts, replaced, return, numbers should be oriented facing, outboard,",4,3.287878787878788,13.151515151515152,20171117X01501
Aircraft servicing event,Enroute-Cruise; Uncontrolled Descent; Standing; Landing-Flare/Touchdown; Prior to Flight; Landing-Landing Roll; Landing; Standing-Engine(s) Not Oper,"incomplete securing of all the wheel well bin's, fasteners, received,","separation of the bin, main landing gear overheat fail, message,","from the, airplane, power, loss of, control, started, in, disqualified,","maintenance, removal and reinstallation, wheel well, bin, toxic, forward right,","use electric, battery, powered, screw guns, bins, , thorough, inspection,",3,3.1538461538461537,9.461538461538462,20121005X05550
Aircraft structural failure,Enroute-Cruise; Approach-VFR Pattern Downwind; Maneuvering-Aerobatics; Initial Climb; Maneuvering-Low-alt flying; Uncontrolled Descent; Landing-Flare/Touchdown; Enroute; Unknown; Enroute-Descent; Takeoff; Taxi-to Runway; Enroute-Climb to cruise; Approach-VFR Go-Around; Landing-Landing Roll; Landing; Emergency Descent; Maneuvering,"in the, yo, right, outer portion of the left, was","in - flight overload, failure, of the, elevator inboard balance","200, rib, rib tip structure was, fractured from its upper,","disengaged the autopilot, re - leveled, re - engaged the",", alert, wires, airspace status can also be, determined, a",4,3.5185185185185186,14.074074074074074,20160724X01920
