,index,Lesson(s) Learned Level 1,Lesson(s) Learned Level 2,Driving Event Level 1,Driving Event Level 2,Recommendation(s) Level 1,Recommendation(s) Level 2,Lesson IDs for row,Number of lessons for row,,,,
0,1,0.050215508,0.050385756,0.055635066,0.028244499,0.048762035,0.048996138,n/a,n/a,,,,Selection method:
1,0,0.787823158,0.812625328,0.864312867,0.899817944,0.809440084,0.826216002,n/a,n/a,,,,(1) remove rows with only one entry
8,1584,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","residue, cleanliness, particulate, molecule, contamination control, volatile, contaminates, molecular, cleaning process, performance degradation","crane, strap, second, lift, load, redesign, release, secure, stop, modify","spacecraft instrument, frequent, sample, contamination, witness, cleanliness, plate, objective, instrument, level","[323, 352]",2,,,,
11,1411,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","explosion, injury, employee, tighten, burn, electrical shock, injured, explode, newly, contact","approximately hour, high resolution, trajectory, spacecraft trajectory, soil moisture, smap, illuminate, intervention, auto, soil","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","pyrotechnic, reliability, property, application, functional, material, failure mode, mode, combine, material property","[69, 1098]",2,,,,
14,1079,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","management, project, lack, formal, manager, organization, contractor, request, risk, development","international space, huygens probe, software development, cassini spacecraft, international space station, probe, european space agency, european space, cassini, operation atlo","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[225, 607, 609, 16901]",4,,,,
25,636,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","negotiate, altitude, incentive, strain relief, action item, successfully demonstrate, spacecraft integration test, pending, mail, platinum","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify","display, indicate, color, appropriately, isolate, occurrence, obvious, main, flag, cell","[899, 1198]",2,,,,
33,643,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","mishap occur, wind tunnel, research center, close call, serious injury, investigate committee, constellation program, tunnel, explosion occur, bolt remove","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","help ensure, alarm, great, transition, properly train, furthermore, precaution, pull, suppression, department","[49, 1183]",2,,,,
43,580,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","data record, moment, allowable, indicate, angle, negative, analyze, roll, record, enough","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","relevant historical, relevant, historical, solder, print, solder joint, print wiring, conformal, conformal coat, viking","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space flight, research center, prior start, high voltage, high temperature, take account, training certification, power source, potential hazard, test article","[1259, 1266]",2,,,,
44,1167,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","data record, moment, allowable, indicate, angle, negative, analyze, roll, record, enough","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","mishap occur, wind tunnel, research center, close call, serious injury, investigate committee, constellation program, tunnel, explosion occur, bolt remove","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify","electrical power, approval process, ensure proper, packaging, critical item, packaging design, instead, generate, quality assurance, assurance","[493, 993]",2,,,,
48,1430,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","leak, leak check, thread, check, torque, leakage, measure, close, line, spec","management, project, lack, formal, manager, organization, contractor, request, risk, development","quick disconnect, orbiter, shuttle, space shuttle, disconnect, orbiter processing, space shuttle orbiter, processing, line replaceable, ground umbilical","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","help ensure, alarm, great, transition, properly train, furthermore, precaution, pull, suppression, department","[98, 859]",2,,,,
57,789,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","leak, leak check, thread, check, torque, leakage, measure, close, line, spec","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","rocket motor, challenger, case nozzle, review joint solid, challenger space shuttle, trigger detailed, joint catastrophic, challenger space, encounter challenger, rocket motor analysis","crane, strap, second, lift, load, redesign, release, secure, stop, modify","relief valve, human factor, wind tunnel, hazard, personal protective equipment, personal protective, relief, train personnel, rate, human","[956, 958, 967]",3,,,,
58,1338,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","leak, leak check, thread, check, torque, leakage, measure, close, line, spec","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","rocket motor, challenger, case nozzle, review joint solid, challenger space shuttle, trigger detailed, joint catastrophic, challenger space, encounter challenger, rocket motor analysis","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[175, 580]",2,,,,
62,133,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","leak, leak check, thread, check, torque, leakage, measure, close, line, spec","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","descent stage, rover, caltech, science laboratory, descent, backshell, consume, heatshield, fatigue, built caltech","rate, destructive, solar, earth, appear, radiation, acceptable, general, state, error","conduct periodic, corrective, action, close loop, inspection, prepare, periodic, corrective action, closeout, conduct independent","[1835, 6636]",2,,,,
66,1563,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","leak, leak check, thread, check, torque, leakage, measure, close, line, spec","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","oven, extent damage, concrete, arrow, arrow point, concrete floor, explode, blue, pitch, nose","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","rocket, engine, rocket engine, actual performance, propulsion system, propulsion, propellant, data, acceptance test, test","[323, 352]",2,,,,
78,1449,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","liquid, hazardous, hazard, work, damage, fire, occurs, possibly, protective, technician","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","vacuum chamber, fourier transform, focal plane, spectrometer, fourier, transform, resolve issue, focal, clean room, take account","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[14, 75]",2,,,,
118,488,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","deep space, earth orbit, flight software, command, include, commit, percent, chain, staff, earth","management, project, lack, formal, manager, organization, contractor, request, risk, development","international space, huygens probe, software development, cassini spacecraft, international space station, probe, european space agency, european space, cassini, operation atlo","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","permanently, handbook, content, tether, line management, specifically, attach, general, aware, handle","[1390, 1395]",2,,,,
120,1235,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","deep space, earth orbit, flight software, command, include, commit, percent, chain, staff, earth","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","travel wave, tube amplifier, amplifier, telemetry, twta, wave, downlink, radio, relevant, tube","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","network, patch, security, connection, example, appropriate action, accept, conductor, penetration, official","[313, 410]",2,,,,
122,1176,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","deep space, earth orbit, flight software, command, include, commit, percent, chain, staff, earth","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","oxidizer, propellant, pressurization, tetroxide, tank, nitrogen tetroxide, maneuver, propellant load, fuel, valve","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","rocket, engine, rocket engine, actual performance, propulsion system, propulsion, propellant, data, acceptance test, test","[102, 212, 301, 484, 990, 1428]",6,,,,
127,410,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","instance, loop, remove, crew, valuable, useful, execution, test demonstrate, pilot, substitute","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","injury, foot, approximately, crane, platform, side, technician, lift, floor, employee","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","close proximity, proximity, panel, detail, keep, crew, eliminate, list, task briefing, distance","[1597, 1796]",2,,,,
130,1421,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","science return, command, overload, minute, sufficiently, point, budget, directly, last, reach","management, project, lack, formal, manager, organization, contractor, request, risk, development","culture, explorer, prompt, survey, sensitive component, static charge, cost constraint, verify proper, tower, work shift","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","change, deviation, installation, document, write, procedure, work authorization, pressurize, caution, temporary","[120, 139]",2,,,,
138,1573,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","science return, command, overload, minute, sufficiently, point, budget, directly, last, reach","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","vacuum chamber, fourier transform, focal plane, spectrometer, fourier, transform, resolve issue, focal, clean room, take account","risk assessment, self, orbital, constant, minute, radio frequency, personal, occurs, budget schedule, nature","late development, presentation, decision make, weekly, furthermore, contains, conflict, pull, face, schedule budget","[272, 397]",2,,,,
153,607,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","anomaly investigation, centaur, thrust, potable water, atlas centaur, cape canaveral, hughes, general purpose computer, engine start, dewar","weld joint, vibration induced, heat sink, maturity, furnace, cartridge, retesting, engineering drawing, open loop, dimensionally","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","close proximity, proximity, panel, detail, keep, crew, eliminate, list, task briefing, distance","[541, 1230]",2,,,,
