,Hazard,Likelihood,Severity,Risk
0,Air to Ground Communication,Occasional,Marginal,Medium
1,Bandwidth,Occasional,Marginal,Medium
2,Burn,Occasional,Catastrophic,High
3,Cargo operations overhead,Occasional,Catastrophic,High
4,Communication Disruption,Probable,Marginal,Serious
5,Dehydration,Probable,Catastrophic,High
6,Drug use,Occasional,Marginal,Medium
7,Entrapment,Occasional,Catastrophic,High
8,Falling Objects,Occasional,Catastrophic,High
9,Fatigue,Occasional,Marginal,Medium
10,Food Supply Issues,Occasional,Marginal,Medium
11,Fuel Leak,Occasional,Marginal,Medium
12,Heart Attack,Occasional,Catastrophic,High
13,Heat Exhaustion,Occasional,Catastrophic,High
14,Illness,Occasional,Marginal,Medium
15,Inaccurate Weather Data,Occasional,Marginal,Medium
16,Inadequate Training or Certification,Probable,Catastrophic,High
17,Insect Stings,Probable,Marginal,Serious
18,Insufficient Breaks,Occasional,Marginal,Medium
19,Insufficient PPE,Occasional,Marginal,Medium
20,Poison Oak,Occasional,Marginal,Medium
21,Reckless Driving,Occasional,Marginal,Medium
22,Red Flag Warning,Occasional,Negligible,Low
23,Technical Infrastructure Outage,Occasional,Marginal,Medium
24,Unsanitary Bathrooms,Occasional,Marginal,Medium
25,Vehicle Breakdown,Occasional,Catastrophic,High
26,Vehicle Collision or Accident,Occasional,Catastrophic,High
27,Vehicle Damage,Occasional,Marginal,Medium
28,Water Contamination,Occasional,Marginal,Medium
29,misc,Probable,Negligible,Medium
