,Unique IDs,Combined Text,Evacuations,Hazardous Terrain,Innacurate Mapping,Ecological Resources,Command Transition,Wind,Dry Weather,Rain,Law Violations,Road Closures,Smoke,Military Base,Cultural Resources,Resource Shortage,Thunderstorms,Infrastructure,Injury,Livestock,Aerial Grounding
0,2014_000100_100 MILE CREEK_4,['the fire area received light to moderate precipitation during operational period. completed the helicopter transport of crews to line spike. crews began direct line production. there was minimal perimeter growth.'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2006_CA-SRF-997_ORLEANS COMPLEX_8,['inversion from local fires and drift smoke from fires in surrounding complexes lasts until mid-day and continues to hamper air operations and mapping efforts.. active torching spotting and sustained up hill runs on the somes.. the somes fire ne of orleans  ca  and the crawford fire sw of orleans  ca. are located within a designated wui fire management zone.  somes fire continues to increase in size; active fire behavior and in the early morning fire runs have been occurring  and expected continues. air support is critical to all operations. lack of access  steep  very rugged terrain  and resource shortages are causing control problems and affecting firefighter safety.  establishment of safety zones or escape routes is difficult due to the aforementioned terrain.'],0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2,2006_TX-TXS-066162_CARGILL RANCH_1,['local fire departments will continue to mop up and monitor'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2014_000311_MIDDLE MOUNTAIN_0,['creeping and smoldering  backing'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2006_MN-MNS-131-022_CLEMENTSON FIRE_6,['the flooding operations are working better than anticipated. several slightly higher areas  that would be difficult to flood  will be extinguished with hose lays and tracked atv engines.. the flooded burning peat is starting to float on top of the water.  we are trying several different methods to mix the floating peat with the water including using dozers  backhoes  tracked vehicles  and adding class a foam to the area.. peat smoke is having an impact on the local residents and roadways for traveling safety.'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,2008_CA-KNF-3393_KLAMATH THEATER_290,['for the ukonom complex  66% (47 miles) of the total planned line (62 miles) has been completed  with 15 miles (21%) remaining to complete; 11 miles (15% of total) has a confinement strategy and cannot be shown as planned containment. type 2ia crews = 4. patrolled and moppped up along salmon river road and in forks area.. major problems include inaccessible  steep terrain  transportation issues  poison oak and structures located west and east of the fire.  crews will be burning off from established roads  dozer lines and hand lines to strengthen control lines. local wind patterns and rollout along the salmon river road  and the north fork salmon road has the potential to threaten residences and structures.'],0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2010_AK-FAS-011182_BROKEN TREE_4,['full demob of tiikaan crew and 8 smokejumpers demobed.. toklat fire is highly active and 8 miles away.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2006_ND-NDS-004_LITTLE HEART BOTTOMS_0,['severe thunderstorms predicted for late today. hoping for wetting rain with them.. very dry fuels  torching cottonwood trees'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,2011_ID-BOD-000551_MORROW_0,['morrow  boise district blm. 3 miles nw of glenns ferry  id. grass and brush. active fire behavior.. significant progress was made by crews with constructing and securing lines with aerial support. staffing fire with limited resources while other fires have taken more priority. fireline getting some breakouts along the line.. rocky and inaccessible terrain and concerns with crews working in rock fall areas. getting some breakouts along the line.'],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,2012_CT-CTS-00001_DEVIL'S HOPYARD_1,['closing 209'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
